strategy_name,signal_month,return_month,hsi_state,monthly_return,monthly_return_pct,growth_index,cumulative_return,cumulative_return_pct,drawdown,drawdown_pct
EW_1_3,,2015-11,benchmark,-0.8641000000000001,-86.41000000000001,-0.0043148499892754905,-1.0043148499892756,-100.43148499892756,-1.000125175805375,-100.0125175805375
EW_1_3,,2015-12,benchmark,0.039700000000000006,3.9700000000000006,-0.0044861495338497275,-1.0044861495338497,-100.44861495338498,-1.0001301452848486,-100.01301452848486
EW_1_3,,2016-01,benchmark,-0.9655999999999999,-96.55999999999999,-0.00015432354396443105,-1.0001543235439645,-100.01543235439645,-1.0000044769977987,-100.00044769977987
EW_1_3,,2016-02,benchmark,0.7982,79.82000000000001,-0.00027750459675683994,-1.000277504596757,-100.02775045967569,-1.0000080505374418,-100.00080505374417
EW_1_3,,2016-03,benchmark,1.5012333333333334,150.12333333333333,-0.0006941037475614333,-1.0006941037475614,-100.06941037475615,-1.0000201362726007,-100.00201362726007
EW_1_3,,2016-04,benchmark,-0.011700000000000002,-1.1700000000000002,-0.0006859827337149645,-1.000685982733715,-100.06859827337149,-1.0000199006782111,-100.00199006782111
EW_1_3,,2016-05,benchmark,-0.16573333333333332,-16.57333333333333,-0.000572292528647271,-1.0005722925286473,-100.05722925286473,-1.0000166024724757,-100.00166024724757
EW_1_3,,2016-06,benchmark,0.4566333333333333,45.66333333333333,-0.0008336203736452365,-1.0008336203736452,-100.08336203736452,-1.0000241837148238,-100.00241837148238
EW_1_3,,2016-07,benchmark,1.0949333333333333,109.49333333333333,-0.0017463791080951942,-1.0017463791080952,-100.17463791080952,-1.0000506632703081,-100.00506632703082
EW_1_3,,2016-08,benchmark,0.5907666666666666,59.076666666666654,-0.0027780816725208983,-1.002778081672521,-100.27780816725209,-1.0000805934416306,-100.00805934416306
EW_1_3,,2016-09,benchmark,0.22529999999999997,22.529999999999998,-0.0034039834733398566,-1.00340398347334,-100.34039834733399,-1.00009875114403,-100.009875114403
EW_1_3,,2016-10,benchmark,-0.31883333333333336,-31.883333333333336,-0.0023186800759233323,-1.0023186800759234,-100.23186800759234,-1.0000672659876084,-100.00672659876085
EW_1_3,,2016-11,benchmark,-0.4094,-40.94,-0.0013694124528403201,-1.0013694124528403,-100.13694124528402,-1.0000397272922816,-100.00397272922817
EW_1_3,,2016-12,benchmark,1.4064333333333334,140.64333333333335,-0.0032953997735967076,-1.0032953997735967,-100.32953997735967,-1.0000956010803894,-100.00956010803894
EW_1_3,,2017-01,benchmark,1.1872666666666667,118.72666666666667,-0.00720791807812896,-1.007207918078129,-100.7207918078129,-1.000209105056433,-100.0209105056433
EW_1_3,,2017-02,benchmark,0.2396,23.96,-0.00893493524964866,-1.0089349352496486,-100.89349352496487,-1.0002592066279545,-100.02592066279546
EW_1_3,,2017-03,benchmark,1.5592333333333335,155.92333333333335,-0.022866584122075834,-1.0228665841220759,-102.28665841220759,-1.0006633702424819,-100.06633702424818
EW_1_3,,2017-04,benchmark,0.8539333333333333,85.39333333333333,-0.04239312252338713,-1.0423931225233871,-104.2393122523387,-1.0012298442048786,-100.12298442048785
EW_1_3,,2017-05,benchmark,2.2453999999999996,224.53999999999996,-0.13758263983740057,-1.1375826398374005,-113.75826398374005,-1.0039913363825133,-100.39913363825133
EW_1_3,,2017-06,benchmark,0.8253,82.53,-0.2511295924952073,-1.2511295924952073,-125.11295924952073,-1.0072853862990014,-100.72853862990014
EW_1_3,,2017-07,benchmark,0.32539999999999997,32.54,-0.3328471618931477,-1.3328471618931477,-133.28471618931476,-1.0096560510006964,-100.96560510006964
EW_1_3,,2017-08,benchmark,-0.6333,-63.33,-0.12205505426621728,-1.1220550542662173,-112.20550542662173,-1.0035408739019553,-100.35408739019553
EW_1_3,,2017-09,benchmark,0.9120333333333335,91.20333333333335,-0.23337333225881632,-1.2333733322588163,-123.33733322588162,-1.006770268929669,-100.6770268929669
