Date,ticker,ret_1m,ret_3m,ma_gap,momentum,volatility,relative_strength,ret_6m,ret_12m,drawdown,shock_count,defensive_rs
2014-09-24,153130,0.002555,0.007405,0.003399,0.008059,0.005356,0.014403,0.014215,0.027273,-4.9e-05,0,0.0
2014-09-25,153130,0.002604,0.007554,0.003426,0.00809,0.005349,0.021951,0.014112,0.027324,0.0,0,0.0
2014-09-26,153130,0.002702,0.007602,0.003452,0.008205,0.005348,0.027863,0.014312,0.027223,0.0,0,0.0
2014-09-29,153130,0.002702,0.007502,0.00343,0.008171,0.005341,0.032862,0.01431,0.027273,0.0,0,0.0
2014-09-30,153130,0.002751,0.007601,0.00341,0.008237,0.005337,0.03724,0.014359,0.027021,0.0,0,0.0
2014-10-01,153130,0.002898,0.007847,0.003634,0.00845,0.00539,0.051476,0.014607,0.027222,0.0,0,0.0
2014-10-02,153130,0.002995,0.007845,0.003708,0.008465,0.005391,0.060397,0.014553,0.027322,0.0,0,0.0
2014-10-06,153130,0.002995,0.007745,0.003683,0.008464,0.005382,0.060127,0.014652,0.027423,0.0,0,0.0
2014-10-07,153130,0.003044,0.007645,0.003658,0.00843,0.005382,0.050181,0.014601,0.027523,0.0,0,0.0
2014-10-08,153130,0.003044,0.007594,0.003633,0.008446,0.005356,0.05069,0.0147,0.027322,0.0,0,0.0
2014-10-10,153130,0.002847,0.007693,0.003609,0.008396,0.003684,0.068446,0.014648,0.027422,0.0,0,0.0
2014-10-13,153130,0.001716,0.007693,0.003539,0.007968,0.002074,0.067822,0.014496,0.027322,0.0,0,0.0
2014-10-14,153130,0.002453,0.007544,0.003422,0.008147,0.002065,0.065217,0.014446,0.027221,0.0,0,0.0
2014-10-15,153130,0.002354,0.007493,0.003449,0.008097,0.001512,0.068255,0.014444,0.02717,0.0,0,0.0
2014-10-16,153130,0.002108,0.007541,0.003572,0.008097,0.001561,0.069211,0.014642,0.02727,0.0,0,0.0
2014-10-17,153130,0.002157,0.007491,0.003505,0.008079,0.001384,0.083223,0.014591,0.02717,0.0,0,0.0
2014-10-20,153130,0.002353,0.007589,0.003487,0.00816,0.001379,0.079262,0.014539,0.027169,0.0,0,0.0
2014-10-21,153130,0.002304,0.007589,0.003471,0.00816,0.001379,0.079903,0.014588,0.027119,0.0,0,0.0
2014-10-22,153130,0.002255,0.007241,0.003405,0.008011,0.001338,0.077259,0.014537,0.027119,0.0,0,0.0
2014-10-23,153130,0.002402,0.00724,0.003437,0.008092,0.001338,0.064252,0.014635,0.027119,0.0,0,0.0
2014-10-24,153130,0.002303,0.00714,0.003374,0.008026,0.001221,0.064743,0.014634,0.027068,0.0,0,0.0
2014-10-27,153130,0.0025,0.007238,0.003407,0.008107,0.00122,0.060128,0.014582,0.027219,0.0,0,0.0
2014-10-28,153130,0.002303,0.00704,0.003247,0.007925,0.001349,0.060524,0.014432,0.026817,-4.9e-05,0,0.0
2014-10-29,153130,0.002254,0.00694,0.003232,0.007908,0.001349,0.039902,0.014531,0.026917,0.0,0,0.0
2014-10-30,153130,0.002401,0.007137,0.003362,0.008089,0.001433,0.039135,0.014728,0.027118,0.0,0,0.0
2014-10-31,153130,0.002302,0.006988,0.003251,0.00799,0.001208,0.027483,0.014678,0.027068,0.0,0,0.0
2014-11-03,153130,0.002105,0.007186,0.003285,0.007972,0.001167,0.020114,0.014626,0.027067,0.0,0,0.0
2014-11-04,153130,0.001958,0.007086,0.003221,0.007907,0.001179,0.014779,0.014675,0.026917,0.0,0,0.0
2014-11-05,153130,0.002105,0.007134,0.003351,0.00802,0.001295,0.01615,0.014822,0.027167,0.0,0,0.0
2014-11-06,153130,0.002202,0.007231,0.003429,0.008084,0.001338,0.012416,0.014819,0.027318,0.0,0,0.0
2014-11-07,153130,0.002153,0.00728,0.003362,0.008,0.001353,0.008583,0.014567,0.027368,0.0,0,0.0
2014-11-10,153130,0.002153,0.00728,0.003345,0.007983,0.001338,-0.016826,0.014516,0.027368,0.0,0,0.0
2014-11-11,153130,0.002055,0.007181,0.003183,0.007884,0.001399,-0.019425,0.014416,0.027117,-4.9e-05,0,0.0
2014-11-12,153130,0.001957,0.006884,0.002976,0.007636,0.001558,-0.023847,0.014065,0.027016,-0.000147,0,0.0
2014-11-13,153130,0.001957,0.006933,0.003016,0.007685,0.001465,-0.022243,0.014164,0.026966,0.0,0,0.0
2014-11-14,153130,0.001761,0.006883,0.002951,0.007619,0.001465,-0.018643,0.014213,0.027016,0.0,0,0.0
2014-11-17,153130,0.00181,0.006833,0.002941,0.007602,0.001465,-0.033226,0.014162,0.027066,0.0,0,0.0
2014-11-18,153130,0.001761,0.006635,0.002881,0.007502,0.00147,-0.027452,0.014111,0.026865,0.0,0,0.0
