strategy_name,combo_id,combo_name,year_month,return_year_month,hsi_state,state_kr,allocation_rule_name,strategy_return,turnover,weight_069500,return_069500,contribution_069500,weight_114260,return_114260,contribution_114260,weight_153130,return_153130,contribution_153130,cumulative_return,running_max,drawdown
EW,EW,Equal Weight,2021-12,2022-01,EW,동일가중,equal_weight,-0.03257466666666667,0.0,0.3333333333333333,-0.089301,-0.029767000000000002,0.3333333333333333,-0.008908,-0.002969333333333333,0.3333333333333333,0.000485,0.00016166666666666668,1.3592101507449008,1.4457182159194628,-0.05983743181899637
EW,EW,Equal Weight,2022-01,2022-02,EW,동일가중,equal_weight,0.0038489999999999996,0.0,0.3333333333333333,0.009793,0.003264333333333333,0.3333333333333333,0.000785,0.00026166666666666667,0.3333333333333333,0.000969,0.000323,1.3644417506151179,1.4457182159194628,-0.05621874609406774
EW,EW,Equal Weight,2022-02,2022-03,EW,동일가중,equal_weight,0.001244666666666666,0.0,0.3333333333333333,0.012976,0.004325333333333333,0.3333333333333333,-0.009678,-0.003226,0.3333333333333333,0.000436,0.00014533333333333333,1.3661400257807166,1.4457182159194628,-0.05504405302670634
EW,EW,Equal Weight,2022-03,2022-04,EW,동일가중,equal_weight,-0.011996333333333333,0.0,0.3333333333333333,-0.028518,-0.009506,0.3333333333333333,-0.0081,-0.0026999999999999997,0.3333333333333333,0.000629,0.00020966666666666665,1.3497513546514424,1.4457182159194628,-0.06638005955191373
EW,EW,Equal Weight,2022-04,2022-05,EW,동일가중,equal_weight,0.00025199999999999995,0.0,0.3333333333333333,-0.001971,-0.000657,0.3333333333333333,0.001953,0.000651,0.3333333333333333,0.000774,0.000258,1.3500914919928144,1.4457182159194628,-0.06614478732692086
EW,EW,Equal Weight,2022-05,2022-06,EW,동일가중,equal_weight,-0.047186,0.0,0.3333333333333333,-0.128809,-0.04293633333333333,0.3333333333333333,-0.012314,-0.004104666666666666,0.3333333333333333,-0.000435,-0.000145,1.2863860748516416,1.4457182159194628,-0.11020967939211279
EW,EW,Equal Weight,2022-06,2022-07,EW,동일가중,equal_weight,0.023261999999999998,0.0,0.3333333333333333,0.048907,0.016302333333333332,0.3333333333333333,0.019912,0.006637333333333333,0.3333333333333333,0.000967,0.0003223333333333333,1.3163099877248403,1.4457182159194628,-0.08951137695413214
EW,EW,Equal Weight,2022-07,2022-08,EW,동일가중,equal_weight,-0.007096666666666666,0.0,0.3333333333333333,-0.004786,-0.0015953333333333334,0.3333333333333333,-0.017325,-0.005775,0.3333333333333333,0.000821,0.00027366666666666663,1.306968574511953,1.4457182159194628,-0.09597281121568102
EW,EW,Equal Weight,2022-08,2022-09,EW,동일가중,equal_weight,-0.043957333333333334,0.0,0.3333333333333333,-0.122712,-0.040903999999999996,0.3333333333333333,-0.01056,-0.0035199999999999997,0.3333333333333333,0.0014,0.00046666666666666666,1.2495177212259396,1.4457182159194628,-0.13571143569546962
EW,EW,Equal Weight,2022-09,2022-10,EW,동일가중,equal_weight,0.023499999999999997,0.0,0.3333333333333333,0.066564,0.022188,0.3333333333333333,0.002442,0.000814,0.3333333333333333,0.001494,0.000498,1.2788813876747493,1.4457182159194628,-0.11540065443431302
EW,EW,Equal Weight,2022-10,2022-11,EW,동일가중,equal_weight,0.030778666666666666,0.0,0.3333333333333333,0.070416,0.023472,0.3333333333333333,0.019128,0.006376,0.3333333333333333,0.002792,0.0009306666666666667,1.3182436516121947,1.4457182159194628,-0.08817386604359512
EW,EW,Equal Weight,2022-11,2022-12,EW,동일가중,equal_weight,-0.025298666666666664,0.0,0.3333333333333333,-0.077319,-0.025772999999999997,0.3333333333333333,-0.001505,-0.0005016666666666666,0.3333333333333333,0.002928,0.000976,1.2848938448846083,1.4457182159194628,-0.1112418514645136
EW,EW,Equal Weight,2022-12,2023-01,EW,동일가중,equal_weight,0.03592533333333334,0.0,0.3333333333333333,0.088956,0.029651999999999998,0.3333333333333333,0.014896,0.004965333333333333,0.3333333333333333,0.003924,0.0013080000000000001,1.3310540845600363,1.4457182159194628,-0.07931291872566004
EW,EW,Equal Weight,2023-01,2023-02,EW,동일가중,equal_weight,-0.005501333333333333,0.0,0.3333333333333333,-0.007775,-0.0025916666666666666,0.3333333333333333,-0.010397,-0.0034656666666666664,0.3333333333333333,0.001668,0.000556,1.3237315123561766,1.4457182159194628,-0.08437792525544396
EW,EW,Equal Weight,2023-02,2023-03,EW,동일가중,equal_weight,0.016250333333333332,0.0,0.3333333333333333,0.024604,0.008201333333333333,0.3333333333333333,0.019246,0.006415333333333333,0.3333333333333333,0.004901,0.0016336666666666665,1.3452425906758019,1.4457182159194628,-0.06949876133348665
EW,EW,Equal Weight,2023-03,2023-04,EW,동일가중,equal_weight,0.00556,0.0,0.3333333333333333,0.011698,0.003899333333333333,0.3333333333333333,0.002425,0.0008083333333333333,0.3333333333333333,0.002557,0.0008523333333333332,1.3527221394799593,1.4457182159194628,-0.06432517444650088
EW,EW,Equal Weight,2023-04,2023-05,EW,동일가중,equal_weight,0.013570333333333332,0.0,0.3333333333333333,0.041226,0.013741999999999999,0.3333333333333333,-0.002074,-0.0006913333333333333,0.3333333333333333,0.001559,0.0005196666666666666,1.3710790298200821,1.4457182159194628,-0.05162775517213147
EW,EW,Equal Weight,2023-05,2023-06,EW,동일가중,equal_weight,-0.000771,0.0,0.3333333333333333,-0.000294,-9.8e-05,0.3333333333333333,-0.004849,-0.0016163333333333333,0.3333333333333333,0.00283,0.0009433333333333334,1.370021927888091,1.4457182159194628,-0.052358950172893604
EW,EW,Equal Weight,2023-06,2023-07,EW,동일가중,equal_weight,0.007302666666666666,0.0,0.3333333333333333,0.015312,0.005103999999999999,0.3333333333333333,0.003915,0.001305,0.3333333333333333,0.002681,0.0008936666666666665,1.3800267413534817,1.4457182159194628,-0.04543864346635629
