Date,069500_return,114260_return,153130_return,069500_ma_pos,114260_ma_pos,153130_ma_pos,069500_momentum,114260_momentum,153130_momentum,069500_vol,114260_vol,153130_vol,069500_rs,114260_rs,153130_rs
2019-08-06,4.46125801992166,-8.909006515051297,-9.392962354371212,6.874975530879246,-10.0,-10.0,4.982243246240498,-10.0,-10.0,0.844679577908624,3.719426312679766,0.1554932861981467,,-4.908641700241016,-4.546079508175592
2019-08-07,5.289311288987194,-10.0,-10.0,7.338747692420132,-10.0,-10.0,4.58810509366546,-10.0,-10.0,0.6356075622549087,3.104044330537105,0.09883383352336836,,-5.245208675120079,-4.880853774056236
2019-08-08,5.920254915422925,-9.392787254576266,-10.0,6.542813903526737,-10.0,-10.0,4.376036496242259,-10.0,-10.0,-0.4853191299944423,3.343270783933479,0.09221991415365752,,-5.168043530709781,-4.797131549389301
2019-08-09,5.467319855044696,-8.062467893881628,-8.888319859832329,5.481729166799209,-8.869340327300588,-9.969562950301647,3.473389412146689,-9.861701682036296,-10.0,-0.05193664509370591,4.811200930357854,0.139323696513515,,-5.469356474415915,-5.205882879312494
2019-08-12,5.240002008024979,-8.107266049884595,-8.767662990503366,5.075824787914019,-9.087139601547502,-9.160789817828057,3.392374768611468,-10.0,-9.57503180918932,0.01542073569941241,4.776723699471865,0.1374648755100392,,-5.544657639846136,-5.206379450838767
2019-08-13,6.428583673694374,-9.339597684813809,-8.652010332173742,6.025668251847859,-9.44543068635882,-9.200037529091986,4.420905825216236,-10.0,-9.935471301097898,-0.1357659152276561,4.324469646524768,0.132766407414505,,-6.303754516062046,-5.968946445515334
2019-08-14,5.016976402789565,-8.616408602862903,-8.53293976653154,4.965048615345049,-9.598506402525528,-10.0,3.728680197293592,-10.0,-10.0,0.3610242214663779,4.164974522124301,0.1269510799295502,,-6.086871549341851,-5.698098305647746
2019-08-16,5.073704167031744,-8.044304283688396,-7.629031863954294,5.135545670873046,-10.0,-9.234091887779423,3.811154760643864,-10.0,-9.769238724814818,0.3373937638106117,3.537674112032473,0.3599541950768479,,-5.626383054347272,-5.176172965945948
2019-08-19,5.675843171684022,-6.633101845901285,-7.537931285146118,4.154582345389528,-10.0,-10.0,2.995979503722977,-10.0,-10.0,-0.9959450490057495,3.894695779616355,0.352965539868673,,-4.714849811392011,-4.436226211621541
2019-08-20,4.781800805393695,-7.435993626638712,-6.657912597781836,2.791104894344328,-10.0,-10.0,2.907493198533749,-10.0,-10.0,0.02461748978715722,3.574178174131383,0.06317454643348704,,-5.004575098503492,-4.745247994680435
