year_month,Date,etf_count,eligible_signal_count,risk_event_count,relief_event_count,risk_event_ratio,relief_event_ratio,event_balance_raw,event_intensity_raw,event_balance_label,event_intensity_label,event_balance_ma_1m,event_intensity_ma_1m,event_balance_ma_3m,event_intensity_ma_3m,event_balance_ma_6m,event_intensity_ma_6m,event_balance_ma_12m,event_intensity_ma_12m,event_balance_13612w,event_intensity_13612w,event_balance_13612w_label,event_intensity_13612w_label
2015-11,2015-11-30,3,27,15,1,0.5555555555555556,0.037037037037037035,0.5185185185185186,0.5925925925925926,risk_event_dominant,high_intensity,0.43738977072310403,0.6596119929453262,0.36625514403292186,0.6366843033509699,0.4126984126984127,0.654320987654321,0.2524985302763081,0.5723104056437389,0.39262198706643153,0.6429453262786596,risk_accumulation,high_accumulated_intensity
2015-12,2015-12-31,3,27,7,1,0.25925925925925924,0.037037037037037035,0.2222222222222222,0.2962962962962963,risk_event_dominant,medium_intensity,0.400352733686067,0.48148148148148145,0.358612580834803,0.577307466196355,0.40917107583774254,0.6284538506760728,0.2742504409171076,0.5705467372134039,0.376984126984127,0.5485302763080541,risk_accumulation,high_accumulated_intensity
2016-01,2016-01-31,3,27,11,5,0.4074074074074074,0.18518518518518517,0.2222222222222222,0.5925925925925926,risk_event_dominant,high_intensity,0.30687830687830686,0.45855379188712514,0.38154027042915933,0.5414462081128748,0.3835978835978836,0.5987654320987654,0.2864491475602587,0.5771604938271605,0.3425778953556732,0.5233245149911816,risk_accumulation,high_accumulated_intensity
2016-02,2016-02-29,3,27,5,7,0.18518518518518517,0.25925925925925924,-0.07407407407407407,0.4444444444444444,relief_event_dominant,high_intensity,0.02645502645502644,0.38271604938271603,0.25631981187536745,0.45032333921222806,0.3136390358612581,0.548206937095826,0.274103468547913,0.5686360964138741,0.1776161081716637,0.4546884185773074,risk_accumulation,high_accumulated_intensity
2016-03,2016-03-31,3,27,7,3,0.25925925925925924,0.1111111111111111,0.14814814814814814,0.37037037037037035,risk_event_dominant,medium_intensity,0.04761904761904761,0.5696649029982364,0.11757789535567312,0.46208112874779533,0.24250440917107582,0.525867136978248,0.28115814226925334,0.5830393885949442,0.13093768371546147,0.5299676660787771,risk_accumulation,high_accumulated_intensity
2016-04,2016-04-30,3,27,4,2,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.2222222222222222,risk_event_dominant,medium_intensity,0.14109347442680775,0.37389770723104054,0.06878306878306878,0.4426807760141093,0.22369194591416816,0.49588477366255146,0.3115814226925338,0.5770135214579658,0.15296884185773074,0.4392416225749559,risk_accumulation,high_accumulated_intensity
2016-05,2016-05-31,3,27,9,1,0.3333333333333333,0.037037037037037035,0.2962962962962963,0.37037037037037035,risk_event_dominant,medium_intensity,0.13932980599647266,0.2486772486772487,0.10405643738977072,0.4015285126396237,0.184891240446796,0.4271017048794827,0.2985008818342152,0.5418871252204585,0.153777189888301,0.35953850676072896,risk_accumulation,medium_accumulated_intensity
2016-06,2016-06-30,3,27,4,9,0.14814814814814814,0.3333333333333333,-0.18518518518518517,0.48148148148148145,relief_event_dominant,high_intensity,-0.11640211640211641,0.30335097001763667,0.054085831863609636,0.3127572016460905,0.08847736625514402,0.38536155202821865,0.2529394473838918,0.5136684303350969,0.01265432098765431,0.34360670194003523,mixed_or_neutral,medium_accumulated_intensity
2016-07,2016-07-31,3,28,1,6,0.03571428571428571,0.21428571428571427,-0.17857142857142855,0.25,relief_event_dominant,medium_intensity,-0.19646006550768455,0.4373267825648778,-0.05784412530444276,0.32978500041992104,0.0075270849080372884,0.3894662803392962,0.19791404216007388,0.49764319307970095,-0.0746404425967918,0.4015237885277568,relief_accumulation,high_accumulated_intensity
2016-08,2016-08-31,3,28,12,5,0.42857142857142855,0.17857142857142858,0.24999999999999997,0.6071428571428571,risk_event_dominant,high_intensity,-0.0006298815822625438,0.42025699168556313,-0.10978835978835978,0.38756613756613756,-0.0011022927689594358,0.39278365667254556,0.15626837154614934,0.47049529688418573,-0.017782081968589904,0.40997889896699424,mixed_or_neutral,high_accumulated_intensity
2016-09,2016-09-30,3,29,8,5,0.27586206896551724,0.1724137931034483,0.10344827586206895,0.4482758620689655,risk_event_dominant,high_intensity,0.2726366408632418,0.5848580811634998,0.013067508825582172,0.47386425834701695,0.036222172990098556,0.39419256421172133,0.14230273846447902,0.46149957428693056,0.134449617437439,0.5010909802405423,risk_accumulation,high_accumulated_intensity
2016-10,2016-10-31,3,29,13,3,0.4482758620689655,0.10344827586206896,0.3448275862068966,0.5517241379310345,risk_event_dominant,high_intensity,0.2972085385878489,0.5467980295566502,0.1743859740575668,0.5046669157232923,0.06083244281109634,0.41709998175515417,0.14431980753135654,0.4611954935230797,0.19779767696776454,0.4996588322429866,risk_accumulation,high_accumulated_intensity
2016-11,2016-11-30,3,29,17,1,0.5862068965517241,0.034482758620689655,0.5517241379310345,0.6206896551724137,risk_event_dominant,high_intensity,0.5139573070607553,0.6683087027914615,0.3650989131284698,0.6016303072953318,0.12806469969852563,0.489947596748363,0.15721283191863378,0.45925951265989573,0.3564468198944116,0.5917280439208463,risk_accumulation,high_accumulated_intensity
