date,069500_ma20_gap_raw,069500_ma60_gap_raw,069500_vol20_raw,069500_drawdown_60_raw,069500_risk_vs_cash_ret20_raw,114260_ma20_gap_raw,114260_ma60_gap_raw,114260_vol20_raw,114260_drawdown_60_raw,114260_risk_vs_cash_ret20_raw,153130_ma20_gap_raw,153130_ma60_gap_raw,153130_vol20_raw,153130_drawdown_60_raw,153130_risk_vs_cash_ret20_raw,069500_ma20_gap_direction,069500_ma60_gap_direction,069500_vol20_direction,069500_drawdown_60_direction,069500_risk_vs_cash_ret20_direction,114260_ma20_gap_direction,114260_ma60_gap_direction,114260_vol20_direction,114260_drawdown_60_direction,114260_risk_vs_cash_ret20_direction,153130_ma20_gap_direction,153130_ma60_gap_direction,153130_vol20_direction,153130_drawdown_60_direction,153130_risk_vs_cash_ret20_direction,069500_ma20_gap_score,069500_ma60_gap_score,069500_vol20_score,069500_drawdown_60_score,069500_risk_vs_cash_ret20_score,114260_ma20_gap_score,114260_ma60_gap_score,114260_vol20_score,114260_drawdown_60_score,114260_risk_vs_cash_ret20_score,153130_ma20_gap_score,153130_ma60_gap_score,153130_vol20_score,153130_drawdown_60_score,153130_risk_vs_cash_ret20_score
2012-05-11,-0.03308766051819145,,0.1308085134820993,,-0.042176088126461675,0.004104202926422662,,0.008716356795233561,,0.00517342268996468,0.0013986395132326024,,0.0013511352329512053,,0.0,0.03308766051819145,,0.1308085134820993,,0.042176088126461675,-0.004104202926422662,,0.008716356795233561,,-0.00517342268996468,-0.0013986395132326024,,0.0013511352329512053,,-0.0,,,,,,,,,,,,,,,
2012-05-14,-0.030374839339711635,,0.1249497856325929,,-0.04998542556450869,0.0027525031484745277,,0.010060817944767082,,0.003813792489834933,0.0012693019849969733,,0.0014339505745460696,,0.0,0.030374839339711635,,0.1249497856325929,,0.04998542556450869,-0.0027525031484745277,,0.010060817944767082,,-0.003813792489834933,-0.0012693019849969733,,0.0014339505745460696,,-0.0,,,,,,,,,,,,,,,
2012-05-15,-0.03258340334304188,,0.12362910598158025,,-0.04702118892959706,0.003257435523353669,,0.010219542954031208,,0.00403721779932642,0.0013312214304923575,,0.0014217035155718789,,0.0,0.03258340334304188,,0.12362910598158025,,0.04702118892959706,-0.003257435523353669,,0.010219542954031208,,-0.00403721779932642,-0.0013312214304923575,,0.0014217035155718789,,-0.0,,,,,,,,,,,,,,,
2012-05-16,-0.06075909828516146,,0.1642990121085536,,-0.07540341493352709,0.002544389249483636,,0.01021680901626182,,0.00414034533761698,0.0012489768641557042,,0.0014536820589644585,,0.0,0.06075909828516146,,0.1642990121085536,,0.07540341493352709,-0.002544389249483636,,0.01021680901626182,,-0.00414034533761698,-0.0012489768641557042,,0.0014536820589644585,,-0.0,,,,,,,,,,,,,,,
2012-05-17,-0.05721248765583453,,0.1577511956598611,,-0.08442622808017974,0.0025249245789840113,,0.00987930477521822,,0.0031325396042507503,0.0014028347218622006,,0.0015326550593601864,,0.0,0.05721248765583453,,0.1577511956598611,,0.08442622808017974,-0.0025249245789840113,,0.00987930477521822,,-0.0031325396042507503,-0.0014028347218622006,,0.0015326550593601864,,-0.0,,,,,,,,,,,,,,,
2012-05-18,-0.0831248030221049,,0.18742383375381066,,-0.11321456235352445,0.0030343765870650685,,0.010051344850489167,,0.0039887188012548425,0.0013182836058043268,,0.0015152099549215327,,0.0,0.0831248030221049,,0.18742383375381066,,0.11321456235352445,-0.0030343765870650685,,0.010051344850489167,,-0.0039887188012548425,-0.0013182836058043268,,0.0015152099549215327,,-0.0,,,,,,,,,,,,,,,
2012-05-21,-0.06944997519129315,,0.19336530410786282,,-0.09182194260557841,0.0018258458770479269,,0.011013036053711577,,0.0026658408349251594,0.0013280657857503986,,0.0014824037735325407,,0.0,0.06944997519129315,,0.19336530410786282,,0.09182194260557841,-0.0018258458770479269,,0.011013036053711577,,-0.0026658408349251594,-0.0013280657857503986,,0.0014824037735325407,,-0.0,,,,,,,,,,,,,,,
2012-05-22,-0.049644042596342586,,0.20843999061468937,,-0.07517315100667632,0.0023680559857952588,,0.011196958444805045,,0.003228505090316469,0.0012880841271425414,,0.001482598769532522,,0.0,0.049644042596342586,,0.20843999061468937,,0.07517315100667632,-0.0023680559857952588,,0.011196958444805045,,-0.003228505090316469,-0.0012880841271425414,,0.001482598769532522,,-0.0,,,,,,,,,,,,,,,
2012-05-23,-0.05696718217634289,,0.21034091831826915,,-0.08133280777541796,0.00280269554896595,,0.011295666347169752,,0.0035077307655966283,0.0011986232150882348,,0.0014827818491963635,,0.0,0.05696718217634289,,0.21034091831826915,,0.08133280777541796,-0.00280269554896595,,0.011295666347169752,,-0.0035077307655966283,-0.0011986232150882348,,0.0014827818491963635,,-0.0,,,,,,,,,,,,,,,
2012-05-24,-0.049974037579331276,,0.2115511272869683,,-0.07865753496447858,0.0023664462473698133,,0.010820426157980189,,0.003677256036973553,0.001436721270438035,,0.0016488230695221066,,0.0,0.049974037579331276,,0.2115511272869683,,0.07865753496447858,-0.0023664462473698133,,0.010820426157980189,,-0.003677256036973553,-0.001436721270438035,,0.0016488230695221066,,-0.0,,,,,,,,,,,,,,,
2012-05-25,-0.041605746243575825,,0.2123293905311634,,-0.07697023018230009,0.0026602297641580286,,0.010873195649259898,,0.004301092710751853,0.0013395387331289754,,0.0016060732528084807,,0.0,0.041605746243575825,,0.2123293905311634,,0.07697023018230009,-0.0026602297641580286,,0.010873195649259898,,-0.004301092710751853,-0.0013395387331289754,,0.0016060732528084807,,-0.0,,,,,,,,,,,,,,,
2012-05-29,-0.023295722427547294,,0.2205001502496865,,-0.06845266042522014,0.0019021386206281576,,0.011024594223992278,,0.0029856656676381377,0.001297256496967103,,0.0016020620476412902,,0.0,0.023295722427547294,,0.2205001502496865,,0.06845266042522014,-0.0019021386206281576,,0.011024594223992278,,-0.0029856656676381377,-0.001297256496967103,,0.0016020620476412902,,-0.0,,,,,,,,,,,,,,,
2012-05-30,-0.025353603633616606,,0.21861271723658435,,-0.07834615595336458,0.0022992613564845055,,0.010445586404254277,,0.0024722524945881563,0.0011631557625120248,,0.0016781772633982298,,0.0,0.025353603633616606,,0.21861271723658435,,0.07834615595336458,-0.0022992613564845055,,0.010445586404254277,,-0.0024722524945881563,-0.0011631557625120248,,0.0016781772633982298,,-0.0,,,,,,,,,,,,,,,
2012-05-31,-0.02294582881164997,,0.21447945230471185,,-0.08758951010437988,0.0032837699877559245,,0.011029967569243767,,0.0034862415460210627,0.0014605948751456044,,0.0020114098962925263,,0.0,0.02294582881164997,,0.21447945230471185,,0.08758951010437988,-0.0032837699877559245,,0.011029967569243767,,-0.0034862415460210627,-0.0014605948751456044,,0.0020114098962925263,,-0.0,,,,,,,,,,,,,,,
