n_months,gross_cum_return_pct,gross_cagr_pct,gross_ann_vol_pct,gross_mdd_pct,gross_sharpe,gross_calmar,gross_tail_strategy_avg_pct,gross_win_rate_pct,net10_cum_return_pct,net10_cagr_pct,net10_ann_vol_pct,net10_mdd_pct,net10_sharpe,net10_calmar,net10_tail_strategy_avg_pct,net10_win_rate_pct,avg_monthly_turnover_pct,avg_annual_turnover_pct,max_monthly_turnover_pct,strategy,period,sim_id,cost_bps,block_size
105.0,43.93338570916101,4.249889837823417,5.606512881651918,-8.888345083419292,0.7712932225900461,0.4781418585729022,-2.093978439868868,61.904761904761905,43.04426150254002,4.176089299059305,5.607584397679352,-8.923017738217542,0.7584852878958083,0.4680131118839979,-2.101079315382879,61.904761904761905,5.916260142337382,70.99512170804859,17.15533533438843,shuffle_placebo,IS,16,10.0,4
66.0,117.68068496734062,15.191862195989337,15.62191527231559,-16.86696562748009,0.9840293883708603,0.9006873276150138,-4.586559664661612,56.060606060606055,116.97398151508098,15.123776798787913,15.622276692257714,-16.92092540039598,0.9801837184331332,0.893791352477329,-4.593014395653807,56.060606060606055,4.976872665806266,59.7224719896752,20.366525723195966,shuffle_placebo,OOS,16,10.0,4
171.0,272.29750802554247,9.663591555280515,12.425624697604857,-17.27701293760776,0.8040645983906577,0.5593323099414529,-3.873702925854187,60.23391812865497,268.68302876036273,9.588537991155688,12.428131499989874,-17.320049668209915,0.7983766889592846,0.5536091509457373,-3.8810669077694837,60.23391812865497,5.7228712766819285,68.67445532018314,28.116766503072256,shuffle_placebo,FULL,17,10.0,4
105.0,54.89074567471333,5.1277081523444235,7.251584536305397,-10.049326564237282,0.7266557813062363,0.5102539080173283,-2.9978897003353477,60.952380952380956,53.806106942433686,5.043312621003726,7.254584609036143,-10.062255788545293,0.7152697436929495,0.5012109339085725,-3.0056011102204216,60.952380952380956,6.701746086093549,80.42095303312259,28.116766503072256,shuffle_placebo,IS,17,10.0,4
66.0,140.3613633621506,17.28652518870979,17.660495625904797,-17.27701293760775,0.9910616464694356,1.0005505726676476,-5.241214926634723,59.09090909090909,139.7063654295293,17.228348984620713,17.662040821958733,-17.320049668209936,0.9881447564912624,0.9947055184398498,-5.246230572038746,59.09090909090909,4.16557044352708,49.98684532232495,19.693640589923035,shuffle_placebo,OOS,17,10.0,4
171.0,190.38827509352504,7.767984283332763,9.848390122572741,-15.371023761418067,0.8095495845935873,0.5053654463036312,-3.431871304955267,59.64912280701754,187.9158362835868,7.7033375600551235,9.849701411331802,-15.435483948431783,0.8033258357924988,0.499066798669294,-3.436649077285112,59.64912280701754,5.020042839973296,60.24051407967955,18.63473515632825,shuffle_placebo,FULL,18,10.0,4
105.0,42.191773007513,4.104947132041348,6.108313540687638,-9.24985636247262,0.689972279865341,0.44378495959087916,-2.694322472413441,60.952380952380956,41.34232254615719,4.033681739106054,6.109059974899504,-9.298250142146037,0.6786497787049546,0.43381084370086437,-2.6997875029484066,60.952380952380956,5.7212349783116965,68.65481973974036,18.63473515632825,shuffle_placebo,IS,18,10.0,4
66.0,104.22297925645924,13.863008843187675,13.749316459606401,-15.371023761418057,1.0147198053261504,0.9018923565770833,-4.240515680233825,57.57575757575758,103.70107912268392,13.810047710339934,13.750439409067807,-15.435483948431783,1.0112294733925673,0.8946948314984974,-4.245473863197432,57.57575757575758,3.904509892616749,46.854118711400986,18.29959912110944,shuffle_placebo,OOS,18,10.0,4
171.0,180.6231277404027,7.5096035603080535,10.446562084284553,-18.75739864157364,0.7456994777381827,0.4003542124260168,-3.7798726951983252,59.06432748538012,178.08232761195097,7.441005097357767,10.446571335283547,-18.800466789800886,0.7395536878516681,0.3957883163515098,-3.785080127439329,59.06432748538012,5.34962783300165,64.19553399601979,25.113316954344945,shuffle_placebo,FULL,19,10.0,4
105.0,39.80464756845545,3.9037067032970496,6.551577762555966,-9.005825240412356,0.6179706931708984,0.4334646297353986,-3.0880891191713373,60.952380952380956,38.96149589497937,3.831899192135957,6.5494022399806795,-9.058226404700386,0.6075667662051393,0.42302974345480626,-3.0924382888644675,60.952380952380956,5.79032598066627,69.48391176799524,25.021328998879632,shuffle_placebo,IS,19,10.0,4
66.0,100.7251780403045,13.505921406842258,14.555397824213864,-18.757398641573687,0.9441229064341831,0.7200316880245796,-4.983160340773416,56.060606060606055,100.11466185000826,13.443073299420849,14.556507222959198,-18.80046678980084,0.9402188370293587,0.7150393365080514,-4.9872259252689215,56.060606060606055,4.648517143535208,55.782205722422496,25.113316954344945,shuffle_placebo,OOS,19,10.0,4
171.0,234.1248450612816,8.834234701583332,12.204914100133536,-17.205935047651057,0.7541484453358956,0.5134411281408026,-4.173263224232116,59.64912280701754,231.02650530945817,8.76310509527971,12.206114415078313,-17.26776500982401,0.7486933534282559,0.5074834577777835,-4.178902400062994,59.64912280701754,5.473355026658274,65.68026031989929,31.973476784394656,shuffle_placebo,FULL,20,10.0,4
