Date,signal_date,method,strategy,069500_weight,114260_weight,153130_weight,rule_signal,rule_description,strategy_return,cumulative_return,portfolio_value
2025-03-31,2025-02-28,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0020983268060263335,0.4541287548682418,1.4541287548682418
2025-04-30,2025-03-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.009409542916267,0.4678114417929524,1.4678114417929524
2025-05-31,2025-04-30,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0219775216637944,0.5000702995533222,1.5000702995533222
2025-06-30,2025-05-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.05177597903367834,0.5777379079320384,1.5777379079320384
2025-07-31,2025-06-30,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.020666710129009468,0.6103445599348196,1.6103445599348196
2025-08-31,2025-07-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.004023517366553799,0.6038653106317864,1.6038653106317864
2025-09-30,2025-08-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.03365982753127277,0.6578511403710434,1.6578511403710434
2025-10-31,2025-09-30,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0745094768631662,0.7813767615570935,1.7813767615570935
2025-11-30,2025-10-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.015811848912786333,0.753209901346604,1.753209901346604
2025-12-31,2025-11-30,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.028734221947479367,0.8035870237724156,1.8035870237724156
2026-01-31,2025-12-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0898419572075724,0.9656248119823099,1.9656248119823099
2026-02-28,2026-01-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.07531699102305774,1.1136697583010813,2.1136697583010813
2026-03-31,2026-02-28,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.06985017796000789,0.9660295495350639,1.966029549535064
2026-04-30,2026-03-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.11150126138391009,1.185244324226264,2.185244324226264
2026-05-31,2026-04-30,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.11706299685795346,1.441055573687024,2.441055573687024
2026-06-30,2026-05-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.008493172215805866,1.461787879062701,2.461787879062701
2012-04-30,2012-03-31,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.0015006768828879,0.001500676882887797,1.0015006768828878
2012-05-31,2012-04-30,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,-0.0226497180898505,-0.021183031115304063,0.9788169688846959
2012-06-30,2012-05-31,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.0029937000336713662,-0.018252746722595914,0.9817472532774041
2012-07-31,2012-06-30,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.012929218886426567,-0.005559521593824335,0.9944404784061757
2012-08-31,2012-07-31,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,0.0018282351721754999,-0.0037414505345672033,0.9962585494654328
2012-09-30,2012-08-31,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,0.025504706498505825,0.021667831366175783,1.0216678313661758
2012-10-31,2012-09-30,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,-0.021678875262717945,-0.0004807781099430697,0.9995192218900569
2012-11-30,2012-10-31,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.006960021770225432,0.006475897434170541,1.0064758974341705
2012-12-31,2012-11-30,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,0.021653787603227226,0.028269912744977477,1.0282699127449775
2013-01-31,2012-12-31,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,-0.009184225008647625,0.01882605049670527,1.0188260504967053
2013-02-28,2013-01-31,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.015983739854600734,0.03511070104493497,1.035110701044935
2013-03-31,2013-02-28,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,-0.0071729420554942,0.027685911965317667,1.0276859119653177
2013-04-30,2013-03-31,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,-0.008376797057387099,0.01907719564204835,1.0190771956420484
2013-05-31,2013-04-30,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.005842287639656967,0.025030937746004067,1.025030937746004
2013-06-30,2013-05-31,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,-0.0253800016945285,-0.0009843491909335977,0.9990156508090664
