Date,signal_date,method,strategy,strategy_return,cumulative_return,portfolio_value
2016-08-31,2016-07-31,rank,EW_HSI_overlay,0.0091087799504815,0.082520573358515,1.082520573358515
2016-09-30,2016-08-31,rank,EW_HSI_overlay,0.002471401167819,0.0851959159677013,1.0851959159677014
2016-10-31,2016-09-30,rank,EW_HSI_overlay,-0.0031884063998721,0.0817358703641149,1.081735870364115
2016-11-30,2016-10-31,rank,EW_HSI_overlay,-0.0040942667449826,0.0773069551632283,1.0773069551632284
2016-12-31,2016-11-30,rank,EW_HSI_overlay,0.0140639805713601,0.0924581792500354,1.0924581792500354
2017-01-31,2016-12-31,rank,EW_HSI_overlay,0.0175937139614881,0.1116785759706486,1.111678575970649
2017-02-28,2017-01-31,rank,EW_HSI_overlay,0.0029444644859871,0.1149518740574269,1.114951874057427
2017-03-31,2017-02-28,rank,EW_HSI_overlay,0.0155926511412925,0.1323369296689347,1.1323369296689347
2017-04-30,2017-03-31,rank,EW_HSI_overlay,0.0123775273602734,0.1463524609969602,1.1463524609969602
2017-05-31,2017-04-30,rank,EW_HSI_overlay,0.0328432911628439,0.1840024486487261,1.1840024486487262
2017-06-30,2017-05-31,rank,EW_HSI_overlay,0.0122386372645205,0.1984930251380419,1.198493025138042
2017-07-31,2017-06-30,rank,EW_HSI_overlay,0.0043002401001221,0.2036468329044571,1.2036468329044572
2017-08-31,2017-07-31,rank,EW_HSI_overlay,-0.0063331708368011,0.1960239318844985,1.1960239318844983
2017-09-30,2017-08-31,rank,EW_HSI_overlay,0.0036845712763957,0.200430767309802,1.200430767309802
2017-10-31,2017-09-30,rank,EW_HSI_overlay,0.0158208208223527,0.2194225673890497,1.2194225673890495
2017-11-30,2017-10-31,rank,EW_HSI_overlay,-0.0114149826178148,0.2055028799785325,1.2055028799785326
2017-12-31,2017-11-30,rank,EW_HSI_overlay,0.0019891746580629,0.2079008357576077,1.2079008357576078
2018-01-31,2017-12-31,rank,EW_HSI_overlay,0.0032924711460516,0.2118778144066313,1.2118778144066311
2018-02-28,2018-01-31,rank,EW_HSI_overlay,-0.0067997632433061,0.2036373321888509,1.203637332188851
2018-03-31,2018-02-28,rank,EW_HSI_overlay,0.003325431946452,0.207639946225254,1.207639946225254
2018-04-30,2018-03-31,rank,EW_HSI_overlay,0.0051961528279101,0.2139150279469295,1.2139150279469295
2018-05-31,2018-04-30,rank,EW_HSI_overlay,-0.0112377208070921,0.2002733897793285,1.2002733897793283
2018-06-30,2018-05-31,rank,EW_HSI_overlay,-0.0027929570395757,0.1969210777659289,1.196921077765929
2018-07-31,2018-06-30,rank,EW_HSI_overlay,0.0006199060150078,0.1976630563415256,1.1976630563415256
2018-08-31,2018-07-31,rank,EW_HSI_overlay,0.0045705422064022,0.2031370258895832,1.2031370258895833
2018-09-30,2018-08-31,rank,EW_HSI_overlay,0.0019349264164053,0.2054650075035324,1.2054650075035325
2018-10-31,2018-09-30,rank,EW_HSI_overlay,-0.0386477745764456,0.1588764676337426,1.1588764676337426
2018-11-30,2018-10-31,rank,EW_HSI_overlay,0.0063943468937328,0.1662867257747766,1.1662867257747769
2018-12-31,2018-11-30,rank,EW_HSI_overlay,-0.0056335394937965,0.1597164034440337,1.1597164034440337
2019-01-31,2018-12-31,rank,EW_HSI_overlay,0.0153561267479783,0.1775251555270298,1.17752515552703
2019-02-28,2019-01-31,rank,EW_HSI_overlay,-0.0031541941474341,0.1738110125730101,1.17381101257301
2019-03-31,2019-02-28,rank,EW_HSI_overlay,-0.0092629733488466,0.1629380324469636,1.1629380324469636
2019-04-30,2019-03-31,rank,EW_HSI_overlay,0.0100811923873617,0.1746618344866413,1.1746618344866413
2019-05-31,2019-04-30,rank,EW_HSI_overlay,-0.0358048273497773,0.1326032703084745,1.1326032703084743
2019-06-30,2019-05-31,rank,EW_HSI_overlay,0.0105348232626061,0.144535045587824,1.144535045587824
2019-07-31,2019-06-30,rank,EW_HSI_overlay,-0.0175644603361797,0.124431905176229,1.124431905176229
2019-08-31,2019-07-31,rank,EW_HSI_overlay,-0.0081343787388627,0.1152853501934647,1.1152853501934648
2019-09-30,2019-08-31,rank,EW_HSI_overlay,0.0191980596606677,0.1366966648851477,1.1366966648851478
2019-10-31,2019-09-30,rank,EW_HSI_overlay,0.004542910673903,0.1418605762970444,1.1418605762970444
