period,metric,display_name,unit,better_direction,actual,null_mean,null_std,null_p05,null_p50,null_p95,actual_minus_null_p50,actual_raw_percentile,actual_advantage_percentile,one_sided_p_value,n_simulations,block_size,cost_bps
IS,net10_cum_return_pct,Net10bp 누적수익률,%,higher,45.93061860037266,44.56420251440818,7.327289300001069,31.88500604845999,44.85746168070527,56.47156350604837,1.0731569196673902,55.300000000000004,55.300000000000004,0.44755244755244755,1000,4,10.0
IS,net10_cagr_pct,Net10bp CAGR,%,higher,4.414206226143902,4.288350297326044,0.6076476242625769,3.21352703498194,4.326164815336641,5.249778536311377,0.08804141080726069,55.300000000000004,55.300000000000004,0.44755244755244755,1000,4,10.0
IS,net10_ann_vol_pct,Net10bp 연환산 변동성,%,lower,6.572670443453939,7.104132330961497,0.6093257445560791,6.072388544074624,7.12438852842783,8.052913826292345,-0.5517180849738912,19.7,80.30000000000001,0.1978021978021978,1000,4,10.0
IS,net10_mdd_pct,Net10bp MDD,%,higher,-6.367757914624283,-10.525445554864172,1.7861180815150757,-13.388476029324302,-10.593842279759736,-7.623683032965519,4.226084365135453,99.1,99.1,0.00999000999000999,1000,4,10.0
IS,net10_sharpe,Net10bp Sharpe,ratio,higher,0.6907230999759938,0.6290241085432651,0.08210636543086006,0.48855710000060276,0.631123166390039,0.7702300099961991,0.059599933585954834,78.0,78.0,0.22077922077922077,1000,4,10.0
IS,net10_calmar,Net10bp Calmar,ratio,higher,0.6932120041822214,0.41982581743722197,0.09569210586329316,0.28112057660857875,0.4122650085830493,0.5972526488506654,0.2809469955991721,99.5,99.5,0.005994005994005994,1000,4,10.0
IS,net10_tail_strategy_avg_pct,Net10bp tail-month 평균수익,%,higher,-2.7822195682505666,-3.0910756607302265,0.3416136899588066,-3.6305350124172184,-3.10281212292539,-2.4820027416356605,0.3205925546748234,81.3,81.3,0.1878121878121878,1000,4,10.0
IS,net10_win_rate_pct,Net10bp 월 승률,%,higher,62.857142857142854,61.60285714285715,0.8514681520097497,60.952380952380956,60.952380952380956,62.857142857142854,1.904761904761898,95.19999999999999,95.19999999999999,0.15484515484515485,1000,4,10.0
IS,avg_monthly_turnover_pct,평균 월 Turnover,%,lower,5.045442506525618,6.028455281347564,0.4588897855052769,5.229103199305567,6.068753812095935,6.721386134886245,-1.0233113055703162,1.9,98.1,0.01998001998001998,1000,4,10.0
IS,avg_annual_turnover_pct,평균 연환산 Turnover,%,lower,60.54531007830742,72.34146337617078,5.506677426063323,62.74923839166681,72.82504574515121,80.65663361863494,-12.279735666843791,1.9,98.1,0.01998001998001998,1000,4,10.0
IS,max_monthly_turnover_pct,최대 월 Turnover,%,lower,19.14936824488718,24.981561884814177,5.001730442065646,18.581136385318228,24.628577215730566,33.274909381090815,-5.479208970843384,11.600000000000001,88.4,0.11688311688311688,1000,4,10.0
OOS,gross_cum_return_pct,Gross 누적수익률,%,higher,156.1076625122822,114.53832062662957,30.81484923778692,58.36480190058627,118.74087079242778,158.5118250390657,37.366791719854405,93.60000000000001,93.60000000000001,0.06493506493506493,1000,4,10.0
OOS,gross_cagr_pct,Gross CAGR,%,higher,18.647515793910728,14.701547351962219,3.1160822989275276,8.71803015388911,15.293664196939439,18.849248071380007,3.353851596971289,93.60000000000001,93.60000000000001,0.06493506493506493,1000,4,10.0
OOS,gross_ann_vol_pct,Gross 연환산 변동성,%,lower,18.123777965175698,15.940605122162928,2.545287136025349,11.205957778638407,16.266389526436427,19.449892677794463,1.857388438739271,77.7,22.3,0.7772227772227772,1000,4,10.0
OOS,gross_mdd_pct,Gross MDD,%,higher,-12.62964176972936,-18.088255770393655,3.015683708772895,-22.57140132406171,-18.390208094794446,-12.320380924385933,5.760566325065085,94.19999999999999,94.19999999999999,0.058941058941058944,1000,4,10.0
OOS,gross_sharpe,Gross Sharpe,ratio,higher,1.0339091576544448,0.9338511574793354,0.08562334088301574,0.767971664650067,0.9402632123620402,1.0541602379862025,0.09364594529240455,90.3,90.3,0.0979020979020979,1000,4,10.0
OOS,gross_calmar,Gross Calmar,ratio,higher,1.476488101080188,0.8470648368141395,0.27448550560593415,0.44556170806632267,0.820416522929083,1.4202298725313276,0.6560715781511051,96.2,96.2,0.03896103896103896,1000,4,10.0
OOS,gross_tail_strategy_avg_pct,Gross tail-month 평균수익,%,higher,-4.703983971932568,-5.136712324352962,0.6450215087128711,-6.166596044885443,-5.194053548614882,-3.9635537571091466,0.49006957668231355,74.1,74.1,0.2597402597402597,1000,4,10.0
OOS,gross_win_rate_pct,Gross 월 승률,%,higher,56.060606060606055,57.04545454545455,1.1969928307355264,56.060606060606055,56.060606060606055,59.09090909090909,0.0,51.1,51.1,1.0,1000,4,10.0
OOS,net10_cum_return_pct,Net10bp 누적수익률,%,higher,155.2999839004499,113.88533093042723,30.738097566524544,57.91935053424842,118.12466120284802,157.686283711195,37.17532269760187,93.5,93.5,0.06593406593406594,1000,4,10.0
OOS,net10_cagr_pct,Net10bp CAGR,%,higher,18.579396054125596,14.637794685691118,3.1159820388809947,8.662365134370686,15.234543073531881,18.78015089444132,3.344852980593714,93.5,93.5,0.06593406593406594,1000,4,10.0
OOS,net10_ann_vol_pct,Net10bp 연환산 변동성,%,lower,18.124972587340494,15.941526837095996,2.5457770503081405,11.20628407242012,16.26730575986379,19.45050226093513,1.8576668274767059,77.60000000000001,22.400000000000002,0.7762237762237763,1000,4,10.0
OOS,net10_mdd_pct,Net10bp MDD,%,higher,-12.630488487971592,-18.138821926762567,3.006415876271275,-22.598360573754768,-18.443083920278326,-12.370461678489937,5.812595432306734,94.39999999999999,94.39999999999999,0.056943056943056944,1000,4,10.0
OOS,net10_sharpe,Net10bp Sharpe,ratio,higher,1.0306396949095427,0.93014906747025,0.08586491581103149,0.7634832386606587,0.9366969765767525,1.0508825484162574,0.09394271833279011,90.4,90.4,0.0969030969030969,1000,4,10.0
OOS,net10_calmar,Net10bp Calmar,ratio,higher,1.470995842466373,0.840716828609011,0.27241508299723144,0.4416191444844121,0.8146215714454963,1.4065708384935907,0.6563742710208766,96.39999999999999,96.39999999999999,0.03696303696303696,1000,4,10.0
OOS,net10_tail_strategy_avg_pct,Net10bp tail-month 평균수익,%,higher,-4.710169716139915,-5.141239713257293,0.6443503710994677,-6.169464265550628,-5.198454579986032,-3.9690764806343304,0.48828486384611747,74.0,74.0,0.26073926073926074,1000,4,10.0
OOS,net10_win_rate_pct,Net10bp 월 승률,%,higher,56.060606060606055,56.962121212121204,1.1712548235703704,56.060606060606055,56.060606060606055,59.09090909090909,0.0,54.7,54.7,1.0,1000,4,10.0
OOS,avg_monthly_turnover_pct,평균 월 Turnover,%,lower,4.835315985880048,4.674495937226561,0.5287022518897674,3.7542939621064977,4.692527154567776,5.516180693307224,0.1427888313122727,62.2,37.8,0.6223776223776224,1000,4,10.0
OOS,avg_annual_turnover_pct,평균 연환산 Turnover,%,lower,58.023791830560576,56.09395124671872,6.344427022677209,45.05152754527798,56.3103258548133,66.1941683196867,1.713465975747276,62.2,37.8,0.6223776223776224,1000,4,10.0
OOS,max_monthly_turnover_pct,최대 월 Turnover,%,lower,15.214247604569719,19.043674899839747,3.138066372830492,15.556896704717767,18.53986956753234,26.547035453379983,-3.32562196296262,3.5000000000000004,96.5,0.03596403596403597,1000,4,10.0
