apply_date,strategy_return_gross,turnover,w_069500,lambda
2015-08-31,-0.004916806699938557,0.35863546315771666,0.13641064586421253,0.7
2015-09-30,0.0037438002857872713,0.10759063894731512,0.04092319375926376,0.7
2015-10-31,0.009365506239537658,0.21272280831580548,0.15227695812777914,0.7
2015-11-30,-0.013208816756900013,0.3834061293105545,0.5356830874383337,0.7
2015-12-31,0.0008644124655040926,0.2349781612068335,0.30070492623150014,0.7
2016-01-31,-0.013331933108382137,0.1395065516379499,0.44021147786945003,0.7
2016-02-29,0.004753127557967618,0.3523019452526419,0.13206344336083503,0.7
2016-03-31,0.023203723763088987,0.3975555896474154,0.5296190330082504,0.7
2016-04-30,-0.0011228245839504157,0.11926667689422464,0.6488857099024751,0.7
2016-05-31,-0.004045816422345995,0.03578000306826743,0.6846657129707425,0.7
2016-06-30,0.004603849876507256,0.010734000920480227,0.6953997138912228,0.7
2016-07-31,0.01737050625330376,0.13677979972385587,0.5586199141673669,0.7
2016-08-31,0.011992412094693032,0.09896606008284321,0.6575859742502101,0.7
2016-09-30,0.0028099678967584978,0.029689818024852932,0.6872757922750631,0.7
2016-10-31,-0.004335859294838105,0.1310930545925441,0.5561827376825189,0.7
2016-11-30,-0.005005991388581304,0.0393279163777632,0.5168548213047558,0.7
2016-12-31,0.019982783907359497,0.011798374913328996,0.5050564463914267,0.7
2017-01-31,0.022326630075620264,0.1364604875260013,0.641516933917428,0.7
2017-02-28,0.003550037751115601,0.04093814625780038,0.6824550801752284,0.7
2017-03-31,0.03049603700136463,0.0122814438773401,0.6947365240525685,0.7
2017-04-30,0.016923949508770696,0.003684433163202022,0.6984209572157705,0.7
2017-05-31,0.045329084915679656,0.0011053299489606067,0.6995262871647311,0.7
2017-06-30,0.016951454593556403,0.00033159898468822224,0.6998578861494194,0.7
2017-07-31,0.005548030594836894,9.947969540646806e-05,0.6999573658448258,0.7
2017-08-31,-0.011223115821853376,0.13997015609137803,0.5599872097534477,0.7
2017-09-30,0.004597379558574098,0.39549776162358874,0.16799616292603436,0.7
2017-10-31,0.019422634809705384,0.26635067151292335,0.4003988488778103,0.7
2017-11-30,-0.014325604871277764,0.2097208057855328,0.6101196546633431,0.7
2017-12-31,0.0022997169706747383,0.4270837582643401,0.18303589639900292,0.7
2018-01-31,0.0015025626243661907,0.1281251274793021,0.05491076891970088,0.7
2018-02-28,-0.007244118270220146,0.21030244043925467,0.15647323067591026,0.7
2018-03-31,0.0023279734235359317,0.1819092678682236,0.04694196920277309,0.7
2018-04-30,0.0019285064418706449,0.054572780360467095,0.014082590760831931,0.7
2018-05-31,-0.012041784629524113,0.36862816589185976,0.3542247772282495,0.7
2018-06-30,-0.0016005466846627054,0.27441155023244196,0.10626743316847487,0.7
2018-07-31,0.001364131805415932,0.08232346506973262,0.03188022995054246,0.7
2018-08-31,0.004487286473006407,0.2903029604790802,0.2545640689851627,0.7
2018-09-30,0.0031254795446681452,0.31180515171038603,0.5663692206955487,0.7
2018-10-31,-0.061570638429778946,0.06908572093000138,0.5199107662086646,0.7
2018-11-30,0.0063124856508503515,0.3782118200670648,0.15597322986259943,0.7
2018-12-31,-0.007080769477376203,0.27153645397988047,0.39679196895877983,0.7
2019-01-31,0.02520734238069617,0.1377543782711458,0.259037590687634,0.7
2019-02-28,-0.003746441760760206,0.30867368651865623,0.5677112772062902,0.7
2019-03-31,-0.013121937667982173,0.09260210595559683,0.660313383161887,0.7
2019-04-30,0.019627006671382306,0.027780631786679062,0.6880940149485661,0.7
2019-05-31,-0.05096479340565746,0.008334189536003685,0.6964282044845698,0.7
2019-06-30,0.02109196248085959,0.3474997431391988,0.348928461345371,0.7
2019-07-31,-0.021466637462186834,0.2457500770582403,0.5946785384036113,0.7
2019-08-31,-0.014294218669661688,0.06813974938927352,0.5284035615210834,0.7
2019-09-30,0.01687518588599529,0.22988249306475836,0.29852106845632503,0.7
2019-10-31,0.005279259372144648,0.28103525208057245,0.5795563205368974,0.7
2019-11-30,0.0017968699483164226,0.08431057562417174,0.6638668961610692,0.7
2019-12-31,0.04165467747929467,0.1147068273127484,0.5491600688483208,0.7
2020-01-31,-0.018015046504732134,0.10558795180617545,0.6547480206544963,0.7
2020-02-29,-0.00914150783561235,0.4583236144581473,0.19642440619634893,0.7
2020-03-31,-0.005618221760227993,0.1374970843374442,0.0589273218589047,0.7
2020-04-30,0.0035195536517222937,0.0412491253012333,0.017678196557671416,0.7
2020-05-31,0.015391442810456077,0.3738875738043172,0.3553034589673014,0.7
2020-06-30,0.02215180506696671,0.11216627214129521,0.45659103769019044,0.7
2020-07-31,0.04356945265904807,0.17038627361686667,0.6269773113070571,0.7
2020-08-31,0.017578500349763795,0.05111588208506001,0.6780931933921172,0.7
2020-09-30,0.008512589705814564,0.015334764625517992,0.6934279580176351,0.7
