Date,ticker,return_from_price,return_existing_decimal,diff,abs_diff
2023-08-31,153130,0.0030954373766149956,0.003095,4.373766149955334e-07,4.373766149955334e-07
2021-06-30,114260,-0.0029335634167385605,-0.002934,4.3658326143950626e-07,4.3658326143950626e-07
2024-06-30,114260,0.009815436241610742,0.009815,4.362416107413225e-07,4.362416107413225e-07
2021-07-31,069500,-0.030882564346912278,-0.030883,4.356530877228093e-07,4.356530877228093e-07
2020-05-31,114260,0.00545643512904892,0.005456,4.351290489200063e-07,4.351290489200063e-07
2016-08-31,153130,0.0006934345226126126,0.000693,4.3452261261258535e-07,4.3452261261258535e-07
2024-04-30,153130,0.002519434422907363,0.002519,4.344229073628865e-07,4.344229073628865e-07
2018-07-31,069500,-0.005826566357320262,-0.005827,4.336426797377571e-07,4.336426797377571e-07
2013-02-28,114260,0.006287566951698853,0.006288,-4.330483011471403e-07,4.330483011471403e-07
2019-07-31,069500,-0.039196430061144594,-0.039196,-4.3006114459204214e-07,4.3006114459204214e-07
2017-02-28,069500,0.004588569983662083,0.004589,-4.300163379171787e-07,4.300163379171787e-07
2024-08-31,114260,0.00429042904290422,0.00429,4.290429042198146e-07,4.290429042198146e-07
2021-08-31,114260,0.0018955712562467308,0.001896,-4.2874375326905877e-07,4.2874375326905877e-07
2019-11-30,114260,0.0033474277660323626,0.003347,4.277660323624352e-07,4.277660323624352e-07
2016-07-31,114260,0.0020445725187294705,0.002045,-4.274812705293979e-07,4.274812705293979e-07
2023-07-31,114260,0.003915426781519127,0.003915,4.2678151912674267e-07,4.2678151912674267e-07
2016-12-31,069500,0.036009426469300276,0.036009,4.2646930027701035e-07,4.2646930027701035e-07
2019-09-30,114260,-0.0027984258854394373,-0.002798,-4.258854394371264e-07,4.258854394371264e-07
2022-02-28,153130,0.0009694253507597228,0.000969,4.2535075972277743e-07,4.2535075972277743e-07
2024-05-31,114260,0.005652577406563664,0.005653,-4.2259343633645197e-07,4.2259343633645197e-07
2013-06-30,069500,-0.07518642186310309,-0.075186,-4.218631030894482e-07,4.218631030894482e-07
2019-08-31,114260,0.0037745786516854007,0.003775,-4.2134831459940056e-07,4.2134831459940056e-07
2016-02-29,153130,0.0014475790805008604,0.001448,-4.209194991396971e-07,4.209194991396971e-07
2016-01-31,153130,0.001299579391421668,0.0013,-4.206085783319338e-07,4.206085783319338e-07
2015-11-30,153130,0.0005415805077138014,0.000542,-4.1949228619855145e-07,4.1949228619855145e-07
2015-05-31,114260,0.004138581493074112,0.004139,-4.1850692588871197e-07,4.1850692588871197e-07
2017-10-31,114260,-0.006236418355170081,-0.006236,-4.1835517008113887e-07,4.1835517008113887e-07
2025-10-31,114260,-0.0016695818095087134,-0.00167,4.1819049128666644e-07,4.1819049128666644e-07
2025-04-30,153130,0.0031485818721714853,0.003149,-4.181278285145598e-07,4.181278285145598e-07
2016-10-31,153130,0.000494584399804987,0.000495,-4.156001950129679e-07,4.156001950129679e-07
2025-03-31,153130,0.0020885846450684475,0.002089,-4.1535493155260214e-07,4.1535493155260214e-07
2020-04-30,153130,0.0014204142662137542,0.00142,4.1426621375417923e-07,4.1426621375417923e-07
2017-04-30,114260,0.0006294135718811766,0.000629,4.1357188117663486e-07,4.1357188117663486e-07
2023-08-31,114260,0.0019934130698562313,0.001993,4.130698562313656e-07,4.130698562313656e-07
2023-04-30,069500,0.011697587596951609,0.011698,-4.1240304839151865e-07,4.1240304839151865e-07
2024-04-30,114260,-0.003698411364209453,-0.003698,-4.1136420945303565e-07,4.1136420945303565e-07
