Date,lambda_0.1,lambda_0.3,lambda_0.5,lambda_0.7,lambda_1.0
2019-02-28,-0.001956940105343224,-0.0025509535583165834,-0.003288008587156486,-0.004055115447278862,-0.0054172000000000005
2019-03-31,-0.00665052742130167,-0.009312429384042881,-0.01162378086884058,-0.01321453977393777,-0.0141212
2019-04-30,0.01252184882521681,0.016174969359918002,0.01849595152242749,0.019599226039595626,0.019948499999999997
2019-05-31,-0.03210615012113849,-0.043793101712316304,-0.04925013284917743,-0.05097312759519348,-0.0512429
2019-06-30,0.02508729126435555,0.027969182694229447,0.02548133367017321,0.02074446273772039,0.012768550000000004
2019-07-31,-0.015565810404389164,-0.01951814446781389,-0.020467099641372645,-0.021712387539245075,-0.026523199999999997
2019-08-31,-0.012181810590456773,-0.014530062863165646,-0.014548483235539327,-0.014362358419050961,-0.0135386
2019-09-30,0.02521266896444276,0.02505524711455964,0.020910894577589913,0.01664530339293053,0.0105637
2019-10-31,0.003857534753705336,0.004340569436981838,0.004509375597775427,0.004998224120064076,0.0063339
2019-11-30,0.001841602777754693,0.0018117782912589375,0.0017505643472157217,0.0017125593726922508,0.0017702999999999998
2019-12-31,0.03692767468960124,0.04158774482264531,0.042281979325357266,0.04153997065198192,0.037807900000000005
2020-01-31,-0.013392213118059479,-0.01612876585865375,-0.017269516954533656,-0.018120634456538307,-0.019673
2020-02-29,-0.02454227494669674,-0.022327145549520797,-0.0164792146372426,-0.009599831450070494,0.0018820999999999998
2020-03-31,-0.04641140272962245,-0.03263044237437337,-0.017166353011979583,-0.005755718844565435,0.0012018999999999999
2020-04-30,0.034593528313702604,0.019877917847839155,0.00882778788192573,0.0034783045264210597,0.0019584999999999997
2020-05-31,0.016181357038716555,0.01293785169220589,0.012750839499974128,0.015017555236651759,0.020058600000000003
2020-06-30,0.019138663001298968,0.017177499605887794,0.01905022636055193,0.022039638794825414,0.024242350000000003
2020-07-31,0.029977666070654992,0.032156264549493725,0.038087302156425536,0.0433990663854312,0.048202999999999996
2020-08-31,0.01113288718101258,0.013315249446852657,0.01593546808772893,0.017527384467678736,0.018229199999999997
