Date,R_ew,R_lambda_net,exposure_effect,pure_timing_effect,lambda_effect,cost_effect,total_excess_vs_ew,residual_check
2017-06-30,0.008219504877821332,0.007926136638158285,-0.0012801872424858809,0.0012801872424858809,-0.0002882135110816311,-5.154728581415302e-06,-0.0002933682396630468,-3.7947076036992655e-19
2017-07-31,0.0032428177231315,0.0031869631998324706,-0.00033152473601776966,0.00033152473601776966,-5.224621329203888e-05,-3.608310006990717e-06,-5.5854523299029256e-05,3.3881317890172014e-19
2017-08-31,-0.006351108072085999,-0.006226843746370031,0.0011493401270259822,-0.0011493401270259822,0.00012679014272086163,-2.525817004893516e-06,0.00012426432571596788,-2.168404344971009e-19
2017-09-30,0.0091201641817481,0.008233615639421816,-0.0015835742804160837,-0.0008865309005748154,0.001606788566761191,-2.3231928096574567e-05,-0.0008865485423262837,-9.75781955236954e-19
2017-10-31,0.015850708420257934,0.01467860077635057,-0.0030485137534339967,0.0030485137534339967,-0.0011633699935749632,-8.737650332397817e-06,-0.0011721076439073636,-2.6020852139652106e-18
2017-11-30,-0.0068206423171011,-0.005760303374240102,0.0014681665760413398,0.0008219223139376724,-0.0012108663023506932,-1.8883644767321516e-05,0.0010603389428609977,0.0
2017-12-31,0.0031724304003297996,0.002817345882532332,-0.0003479530552239353,-0.00019479423177066452,0.00020088132053425718,-1.3218551337125046e-05,-0.00035508451779746753,1.6263032587282567e-19
2018-01-31,0.008662910165105767,0.005479812389187509,-0.0015659800642043706,-0.005273471327320701,0.0037106066015428012,-5.425298593598757e-05,-0.0031830977759182578,4.336808689942018e-19
2018-02-28,-0.018247582677084834,-0.012030023650105352,0.003334794907590208,0.0018669150978389613,0.001022871931395119,-7.022909844808703e-06,0.006217559026979482,2.6020852139652106e-18
2018-03-31,0.004450134948237533,0.0038636654202433996,-0.00032772106545957277,-0.00018346777596241036,-7.036464968078444e-05,-4.916036891366105e-06,-0.0005864695279941337,1.0842021724855044e-19
2018-04-30,0.0095195940584919,0.007359915919430559,-0.0012608648451871514,-0.0007058687808526355,-0.0001895032871975959,-3.4412258239562984e-06,-0.0021596781390613405,-1.734723475976807e-18
2018-05-31,-0.0111949448170662,-0.00874496893213439,0.0020695097564823626,-0.0020695097564823626,0.0024773847430085796,-2.7408858076769404e-05,0.00244997588493181,0.0
2018-06-30,-0.0095326035791076,-0.006981366172421353,0.001958060623855315,0.001096179238141222,-0.0004971886559640299,-5.8137993462614444e-06,0.002551237406686246,4.336808689942018e-19
2018-07-31,-0.0007538264667901332,-0.00019880968419587166,0.0004045236831176362,0.00022646411319833455,-7.190135417932639e-05,-4.069659542383003e-06,0.0005550167825942615,1.0842021724855044e-19
2018-08-31,0.004538396579356866,0.004470331019352257,-4.745862207586477e-05,4.745862207586477e-05,-4.5914321684277504e-05,-2.215123832033192e-05,-6.806556000460949e-05,-6.776263578034403e-20
2018-09-30,0.0019057778960649666,0.0016976477605748716,-0.00028443295605218446,0.00028443295605218446,-0.00019262426866586274,-1.5505866824232356e-05,-0.000208130135490095,1.0842021724855044e-19
2018-10-31,-0.03863042183918803,-0.035502219774232555,0.006621706988159587,-0.006621706988159587,0.0031390561717324367,-1.0854106776962636e-05,0.003128202064955475,8.673617379884035e-19
2018-11-30,0.0113011490412821,0.010139701205273141,-0.0014304370609779231,-0.0008008002349919137,0.0010871915852170063,-1.7402125256126167e-05,-0.0011614478360089577,-1.0842021724855044e-18
2018-12-31,-0.005698540057860566,-0.005003821270204028,0.0012637951268644385,-0.0012637951268644385,0.0007075372999772502,-1.2818512320711711e-05,0.0006947187876565385,0.0
2019-01-31,0.0319258799069382,0.02776384606217692,-0.004821809415432109,-0.0026993890317162646,0.0033751916437625975,-1.6027041375501818e-05,-0.004162033844761281,-2.6020852139652106e-18
2019-02-28,-0.0016694406278054664,-0.0013981913655861074,0.0004735578834408732,-0.0004735578834408732,0.00028503033325650754,-1.3781071037148734e-05,0.00027124926221935896,1.6263032587282567e-19
2019-03-31,-0.0050397682495794,-0.00448424942824236,0.0013414041564752696,-0.0013414041564752696,0.0005651655710630436,-9.6467497260041e-06,0.0005555188213370397,2.168404344971009e-19
2019-04-30,0.010038102130739334,0.009607687351936565,-0.001436499494931107,0.001436499494931107,-0.0004236620539945648,-6.752724808202881e-06,-0.0004304147788027693,-1.6263032587282567e-18
2019-05-31,-0.022797133792956666,-0.02194320971336123,0.004159149618232724,-0.004159149618232724,0.0008586509869611796,-4.726907365741995e-06,0.0008539240795954368,-7.589415207398531e-19
2019-06-30,0.020161757771857833,0.01842066766233941,-0.002807352452329318,-0.0015716374839963266,0.002659590991651204,-2.1691164843980594e-05,-0.0017410901095184228,-1.951563910473908e-18
2019-07-31,-0.010345791234794332,-0.009365009944767636,0.0023105717580668927,-0.0023105717580668927,0.0009905974746359089,-9.816184609213547e-06,0.0009807812900266954,0.0
