date,year,strategy,buy_turnover,sell_turnover,oneway_turnover_from_weights,double_sided_turnover,turnover_from_backtest,turnover_diff
2015-12-31,2015,asym_up0.1_down0.3,0.03911514351903067,0.03911514351903067,0.03911514351903067,0.07823028703806134,0.03911514351903067,0.0
2016-01-31,2016,asym_up0.1_down0.3,0.02766512627265083,0.02766512627265083,0.02766512627265083,0.05533025254530166,0.02766512627265083,0.0
2016-02-29,2016,asym_up0.1_down0.3,0.09266161864685346,0.09266161864685346,0.09266161864685346,0.18532323729370692,0.09266161864685346,0.0
2016-03-31,2016,asym_up0.1_down0.3,0.05242902955177001,0.052429029551770034,0.05242902955177002,0.10485805910354004,0.05242902955177002,0.0
2016-04-30,2016,asym_up0.1_down0.3,0.04718612659659302,0.04718612659659299,0.047186126596593006,0.09437225319318601,0.047186126596593006,0.0
2016-05-31,2016,asym_up0.1_down0.3,0.04246751393693371,0.04246751393693371,0.04246751393693371,0.08493502787386742,0.04246751393693371,0.0
2016-06-30,2016,asym_up0.1_down0.3,0.038220762543240305,0.038220762543240305,0.038220762543240305,0.07644152508648061,0.038220762543240305,0.0
2016-07-31,2016,asym_up0.1_down0.3,0.020180432801353232,0.020180432801353176,0.020180432801353204,0.04036086560270641,0.020180432801353204,0.0
2016-08-31,2016,asym_up0.1_down0.3,0.032958817660024675,0.032958817660024675,0.032958817660024675,0.06591763532004935,0.032958817660024675,0.0
2016-09-30,2016,asym_up0.1_down0.3,0.02966293589402219,0.029662935894022247,0.02966293589402222,0.05932587178804444,0.02966293589402222,0.0
2016-10-31,2016,asym_up0.1_down0.3,0.013761535512186451,0.013761535512186507,0.013761535512186479,0.027523071024372958,0.013761535512186479,0.0
2016-11-30,2016,asym_up0.1_down0.3,0.012385381960967834,0.012385381960967834,0.012385381960967834,0.024770763921935668,0.012385381960967834,0.0
2016-12-31,2016,asym_up0.1_down0.3,0.011146843764871073,0.011146843764871073,0.011146843764871073,0.022293687529742146,0.011146843764871073,0.0
2017-01-31,2017,asym_up0.1_down0.3,0.024881852240067948,0.024881852240067948,0.024881852240067948,0.049763704480135895,0.024881852240067948,0.0
2017-02-28,2017,asym_up0.1_down0.3,0.022393667016061214,0.022393667016061103,0.02239366701606116,0.04478733403212232,0.02239366701606116,0.0
2017-03-31,2017,asym_up0.1_down0.3,0.020154300314455087,0.02015430031445506,0.020154300314455073,0.040308600628910146,0.020154300314455073,0.0
2017-04-30,2017,asym_up0.1_down0.3,0.018138870283009423,0.018138870283009645,0.018138870283009534,0.03627774056601907,0.018138870283009534,0.0
2017-05-31,2017,asym_up0.1_down0.3,0.016324983254708658,0.016324983254708603,0.01632498325470863,0.03264996650941726,0.01632498325470863,0.0
2017-06-30,2017,asym_up0.1_down0.3,0.014692484929237803,0.014692484929237665,0.014692484929237734,0.029384969858475468,0.014692484929237734,0.0
2017-07-31,2017,asym_up0.1_down0.3,0.013223236436313957,0.013223236436313957,0.013223236436313957,0.026446472872627913,0.013223236436313957,0.0
2017-08-31,2017,asym_up0.1_down0.3,0.03086676732926208,0.030866767329262135,0.030866767329262107,0.061733534658524214,0.030866767329262107,0.0
2017-09-30,2017,asym_up0.1_down0.3,0.16700808313536664,0.16700808313536664,0.16700808313536664,0.3340161662707333,0.16700808313536664,0.0
2017-10-31,2017,asym_up0.1_down0.3,0.01757301926552729,0.01757301926552729,0.01757301926552729,0.03514603853105458,0.01757301926552729,0.0
2017-11-30,2017,asym_up0.1_down0.3,0.029928302541573026,0.029928302541573026,0.029928302541573026,0.05985660508314605,0.029928302541573026,0.0
2017-12-31,2017,asym_up0.1_down0.3,0.1291935831377528,0.12919358313775287,0.12919358313775284,0.2583871662755057,0.12919358313775284,0.0
2018-01-31,2018,asym_up0.1_down0.3,0.09043550819642704,0.09043550819642698,0.09043550819642701,0.18087101639285402,0.09043550819642701,0.0
2018-02-28,2018,asym_up0.1_down0.3,0.04764404977696224,0.047644049776962266,0.04764404977696225,0.0952880995539245,0.04764404977696225,0.0
2018-03-31,2018,asym_up0.1_down0.3,0.07396256417237568,0.0739625641723757,0.07396256417237569,0.14792512834475138,0.07396256417237569,0.0
2018-04-30,2018,asym_up0.1_down0.3,0.05177379492066303,0.051773794920663,0.051773794920663016,0.10354758984132603,0.051773794920663016,0.0
2018-05-31,2018,asym_up0.1_down0.3,0.042919447851845316,0.042919447851845316,0.042919447851845316,0.08583889570369063,0.042919447851845316,0.0
2018-06-30,2018,asym_up0.1_down0.3,0.049117490800017705,0.04911749080001768,0.04911749080001769,0.09823498160003538,0.04911749080001769,0.0
2018-07-31,2018,asym_up0.1_down0.3,0.034382243560012404,0.03438224356001239,0.0343822435600124,0.0687644871200248,0.0343822435600124,0.0
2018-08-31,2018,asym_up0.1_down0.3,0.03697747650266377,0.03697747650266381,0.03697747650266379,0.07395495300532758,0.03697747650266379,0.0
2018-09-30,2018,asym_up0.1_down0.3,0.06025540928197362,0.06025540928197359,0.06025540928197361,0.12051081856394721,0.06025540928197361,0.0
2018-10-31,2018,asym_up0.1_down0.3,0.03845175596715769,0.038451755967157664,0.03845175596715768,0.07690351193431536,0.03845175596715768,0.0
2018-11-30,2018,asym_up0.1_down0.3,0.06118025888867429,0.061180258888674316,0.0611802588886743,0.1223605177773486,0.0611802588886743,0.0
2018-12-31,2018,asym_up0.1_down0.3,0.04072460625930932,0.04072460625930929,0.04072460625930931,0.08144921251861861,0.04072460625930931,0.0
