Date,cum_exposure_effect,cum_pure_timing_effect,cum_lambda_effect,cum_cost_effect,cum_total_excess_vs_ew
2020-05-31,-0.004701405609824986,-0.006943078321027316,0.006384946305446438,-0.0011129052868155624,-0.006372442912221437
2020-06-30,-0.007279388691234458,-0.004365095239617844,0.0034260305020833944,-0.0011391848115129826,-0.009357638240281903
2020-07-31,-0.010828290085509375,-0.000816193845342927,0.0005747199767834406,-0.0011575804788011767,-0.01222734443287005
2020-08-31,-0.012391439236792307,-0.0016912901650782434,0.001402370018440975,-0.0011697035116994409,-0.01385006289512903
2020-09-30,-0.012864745923906611,-0.001217983477963939,0.0010609989404292857,-0.001186217388670656,-0.014207947850111934
2020-10-31,-0.011361029876007385,-0.0003761595366186457,0.00017830654070172714,-0.0011996576747908055,-0.012758540546715123
2020-11-30,-0.019451251674152445,-0.012476918636408266,0.008802752890264824,-0.0012240658750749102,-0.024349483295370816
2020-12-31,-0.026847684026176526,-0.016617656406131148,0.009476531996381493,-0.0012261516152737833,-0.035214960051199985
2021-01-31,-0.029059723027148127,-0.01785602012035029,0.009617586211830835,-0.0012276116334129946,-0.0385257685690806
2021-02-28,-0.029814430086187498,-0.017101313061310918,0.008827223984611778,-0.0012515896207155467,-0.03934010878360221
2021-03-31,-0.030468455591049222,-0.016447287556449194,0.008347777113216435,-0.001268374211827333,-0.03983634024610934
2021-04-30,-0.03140901266644117,-0.01550673048105724,0.007865130793356883,-0.0012801234256055837,-0.04033073577974714
2021-05-31,-0.03202870753698375,-0.014887035610514663,0.007642533547990349,-0.0012883478752503592,-0.04056155747475845
2021-06-30,-0.0335444056633315,-0.01715410545761599,0.009909359116639814,-0.0013225907604990164,-0.04211174276480672
2021-07-31,-0.03176380104130508,-0.01893471007964241,0.011155983232651231,-0.0013386207408249563,-0.04088114862912124
2021-08-31,-0.031077174746663397,-0.018550316726659247,0.01074277058736422,-0.0013523997545967985,-0.04023712064055525
2021-09-30,-0.028957567250102043,-0.01736369885465268,0.009849862699592525,-0.001362045064237088,-0.03783344846939931
2021-10-31,-0.02757326366979368,-0.015293159311456406,0.008534759241533428,-0.0013837967809852906,-0.03571546052070197
2021-11-30,-0.025360199173764027,-0.011983020107993254,0.0070630545019620215,-0.0013990229827090324,-0.031679187762504314
2021-12-31,-0.02873518963622037,-0.013872437845522228,0.006423079105666491,-0.001403364641502413,-0.037587913017578536
2022-01-31,-0.024189587813285146,-0.018418039668457453,0.011989697440143391,-0.0014314038026577796,-0.03204933384425701
2022-02-28,-0.024665097586277027,-0.018684243857611027,0.012101275282255885,-0.001436776389849023,-0.032684842551481214
2022-03-31,-0.025607854499799472,-0.019212026574155643,0.012256127088917882,-0.0014405372008828934,-0.034004291185920146
2022-04-30,-0.024281911034320466,-0.02053797003963465,0.013551444421437126,-0.001462904633159184,-0.032731341285677194
2022-05-31,-0.024104013594386818,-0.020271884125203976,0.01336230797661127,-0.0014872474305657806,-0.03250083717354533
2022-06-30,-0.017559590594107197,-0.026816307125483597,0.01992495544286503,-0.0015102074723811632,-0.025961149749106946
2022-07-31,-0.019743300233532112,-0.034169995996709376,0.025068280920018976,-0.0015641354431103955,-0.03040915075333293
2022-08-31,-0.01992684551037867,-0.03398645071986282,0.024809749320487875,-0.001596385863599933,-0.030699932773353568
2022-09-30,-0.01361121934664597,-0.040302076883595515,0.03103683548441407,-0.001618961157942609,-0.024495421903770055
2022-10-31,-0.016905192952859104,-0.042146139030663554,0.03236000419002997,-0.0016281584519027357,-0.02831948624539546
2022-11-30,-0.020078771906786603,-0.03897256007673606,0.02978720056277374,-0.001646720346130647,-0.030910851766879594
2022-12-31,-0.015909031498742312,-0.04314230048478035,0.03215347106733444,-0.001659713672090185,-0.02855757458827843
2023-01-31,-0.020162928614086067,-0.038888403369436594,0.030463651269958508,-0.0016688090002618618,-0.03025648971382604
2023-02-28,-0.01997584625876246,-0.039075485724760196,0.03051567293889772,-0.0016751757299820354,-0.030210834774607002
2023-03-31,-0.020647015754999505,-0.03840431622852315,0.03038503127527069,-0.0016796324407861568,-0.030345933149038152
2023-04-30,-0.021143931405290882,-0.037907400578231776,0.030317324799752604,-0.0016827521383490419,-0.030416759322119125
2023-05-31,-0.023359683758635962,-0.03569164822488669,0.030105992056127896,-0.0016849359266430614,-0.030630275854037853
2023-06-30,-0.02339739816449594,-0.03565393381902671,0.030103474084208888,-0.001686464578448875,-0.03063432247776267
2023-07-31,-0.024420178946820914,-0.034631153036701744,0.03005567448982767,-0.0016875346347129446,-0.030683192128407963
2023-08-31,-0.02262951487844149,-0.03642181710508117,0.030114255089243015,-0.0016882836740977933,-0.030625360568377467
2023-09-30,-0.021542362258343155,-0.0375089697251795,0.030139151013211195,-0.0016888080016671874,-0.03060098897197868
2023-10-31,-0.01811972256672054,-0.0323896368530944,0.02421463541708975,-0.0017284409723686116,-0.028023164975093832
2023-11-30,-0.02326135739505727,-0.0400801162971878,0.030444676827297484,-0.0017561840518596084,-0.03465298091680723
2023-12-31,-0.02626788936798019,-0.03707358432426488,0.027742318400963733,-0.0017767638962159105,-0.037375919187497275
2024-01-31,-0.022878922742239016,-0.04046255095000605,0.029874589675668455,-0.0017911697872653222,-0.03525805380384196
2024-02-29,-0.02600766611885945,-0.042214112412985866,0.03191282232316757,-0.001806085663530734,-0.03811504187220851
2024-03-31,-0.028985710824576977,-0.039236067707268334,0.030019195419874755,-0.0018206445501449458,-0.04002322766211554
2024-04-30,-0.027817024293750967,-0.040404754238094344,0.030539382164025193,-0.001830835770774894,-0.03951323213859505
2024-05-31,-0.02665393446387816,-0.04156784406796715,0.030901769106167737,-0.0018379696252158577,-0.039157979050893466
2024-06-30,-0.03007365499899281,-0.046682810680318126,0.036130206215731174,-0.0018729759271071832,-0.04249923539068698
2024-07-31,-0.029421698204421635,-0.0473347674748893,0.03657143306694301,-0.0018884715157832554,-0.04207350412815122
2024-08-31,-0.026669744773113124,-0.05008672090619781,0.03787514679475768,-0.001899318427856506,-0.0407806373124098
2024-09-30,-0.024123988610595625,-0.04627896596226139,0.03427190973025948,-0.0019317255894052306,-0.0380627704320028
2024-10-31,-0.023316811830527886,-0.04582708494436022,0.03400098521203041,-0.0019394106024893379,-0.03708232216534707
2024-11-30,-0.02066521787159373,-0.04186102560407409,0.03164085600665032,-0.001959790111648213,-0.032845177580665755
2024-12-31,-0.019705430098615823,-0.041323708517492445,0.031671638908600405,-0.0019605244552370004,-0.0313180241627449
2025-01-31,-0.02197333517146862,-0.0447158742247509,0.03310649113893375,-0.001975010414724849,-0.03555772867201066
2025-02-28,-0.022394068412613207,-0.04429514098360632,0.032557798452723,-0.0020048702430833553,-0.03613628118657992
2025-03-31,-0.022428184520496896,-0.04426102487572263,0.03252665406018871,-0.0020257721229343093,-0.03618832745896516
2025-04-30,-0.022854227244011725,-0.043834982152207796,0.03225440174747086,-0.0020404034388299772,-0.036475211087578674
2025-05-31,-0.026300401020869422,-0.0403888083753501,0.03071286586316859,-0.0020506453599569447,-0.0380269888930079
2025-06-30,-0.03447999302228337,-0.04496798167528697,0.03708278592339323,-0.0020684760151680674,-0.0444336647893452
2025-07-31,-0.037438150526374996,-0.04662404420962886,0.03869536742823504,-0.0020809574738158533,-0.04744778478158469
2025-08-31,-0.03643919987210087,-0.04606480260403095,0.03831417658799994,-0.0020896944948693035,-0.04627952038300121
2025-09-30,-0.041969779088931194,-0.04053422338720063,0.0337527403516448,-0.0021085785801318885,-0.050859840704618936
2025-10-31,-0.05391948835699672,-0.04722401789197234,0.03990138941405965,-0.0021203597204480793,-0.06336247655535751
2025-11-30,-0.05174899848036139,-0.046008914584967094,0.03911962090639949,-0.0021286065186694124,-0.060766898677598415
2025-12-31,-0.056653974005848415,-0.05334541643932803,0.04356968289367172,-0.002149379277424346,-0.06857908682892909
2026-01-31,-0.07115643543572606,-0.03884295500945039,0.02744395699769274,-0.0021748383462958927,-0.08473027179377962
2026-02-28,-0.08255154884011011,-0.04522227063327223,0.03101665722691924,-0.00218201699808581,-0.09893917924454892
2026-03-31,-0.07223659173039433,-0.03944765789236297,0.028752829406538317,-0.002187042054338752,-0.08511846227055775
2026-04-30,-0.08946082136415319,-0.06521039452405356,0.04268305411565212,-0.0022055595937158115,-0.11419372136627044
2026-05-31,-0.10808253586545574,-0.07563537144572292,0.04102575946108823,-0.00220759731615187,-0.1448997451662423
2026-06-30,-0.11280213164708294,-0.07827753831492447,0.04073173537420664,-0.0022090237218571106,-0.15255695830965788
