Date,cum_saa_effect,cum_timing_effect,cum_lambda_effect,cum_cost_effect,cum_total_excess_vs_ew
2018-11-30,-0.001084133333333336,-0.007609400000000016,0.039055284611116584,-0.005078865962877626,0.025282885314905627
2018-12-31,-0.009661400000000002,-0.0028232500000000176,0.042678651546142345,-0.00515971308201522,0.025034288464127127
2019-01-31,0.023418099999999997,-0.04789975000000001,0.05149052705611567,-0.005201694460721971,0.02180718259539371
2019-02-28,0.020179899999999997,-0.04789975000000001,0.05397738653270455,-0.005322307495627245,0.02093522903707732
2019-03-31,0.011119033333333332,-0.04789975000000001,0.05887058627309572,-0.005406736620060937,0.016683132986368136
2019-04-30,0.020986199999999997,-0.04789975000000001,0.05515615602011701,-0.005465837007164522,0.022776769012952502
2019-05-31,-0.007433366666666667,-0.04789975000000001,0.06264732457877381,-0.005507207278137031,0.0018070006339701399
2019-06-30,0.011934933333333331,-0.07416550000000001,0.0774689980833222,-0.005628248088456274,0.009610183328199288
2019-07-31,-0.003734600000000001,-0.07416550000000001,0.08403932504828499,-0.005693519521232804,0.0004457055270522207
2019-08-31,-0.015548466666666667,-0.06755590000000002,0.08287146527470836,-0.005717122610821748,-0.005950024002780009
2019-09-30,0.006790733333333333,-0.09822940000000001,0.09716302938720739,-0.005817139608761249,-9.277688822047388e-05
2019-10-31,0.011209966666666666,-0.09822940000000001,0.09474968692563156,-0.0058971277102035985,0.0018331258820946834
2019-11-30,0.011086933333333333,-0.09822940000000001,0.09484715688790014,-0.005953119381213243,0.0017515708400202864
2019-12-31,0.03826196666666667,-0.1130642,0.09845120881235571,-0.005977326483023549,0.01767164899599888
2020-01-31,0.02673496666666667,-0.1130642,0.1018408788724967,-0.006022762401818275,0.00948888313734514
2020-02-29,0.004401766666666671,-0.07115090000000002,0.0771098281798196,-0.006200957258661967,0.004159737587824357
2020-03-31,-0.03787073333333332,0.009816499999999978,0.04340222220523683,-0.0063256936584525515,0.009022295213451008
2020-04-30,-0.005664833333333327,-0.05194490000000002,0.06140895553292937,-0.00641300913830596,-0.002613786938709858
2020-05-31,0.006849933333333339,-0.05845540000000002,0.05384564037683912,-0.006520442290009832,-0.004280268579837307
2020-06-30,0.02452716666666667,-0.06810595000000001,0.04685599318891962,-0.0065956454962025415,-0.003318435640616183
2020-07-31,0.049009833333333336,-0.06810595000000001,0.030712808528823615,-0.006699196286612822,0.0049174955755442035
2020-08-31,0.05953236666666667,-0.06810595000000001,0.02587134352896346,-0.006771681839900018,0.01052607835573019
2020-09-30,0.06297883333333333,-0.06810595000000001,0.024751273617773527,-0.006822421727201056,0.012801735223905883
2020-10-31,0.052515,-0.06810595000000001,0.027119613833602077,-0.006857939648311782,0.004670724185290376
2020-11-30,0.10792206666666666,-0.09844660000000001,0.039593275356350044,-0.006894318006399083,0.042174424016617716
2020-12-31,0.15868606666666665,-0.09844660000000001,0.028157707909755258,-0.006929721787743338,0.08146745278867866
2021-01-31,0.1739074,-0.09844660000000001,0.02576195094116851,-0.006954504434684317,0.09426824650648427
2021-02-28,0.17903403333333331,-0.09844660000000001,0.02518835541931647,-0.006971852287543003,0.09880393646510688
2021-03-31,0.18339286666666665,-0.10099770000000001,0.026625315175304986,-0.007019708790541923,0.10200077305142981
2021-04-30,0.1898722333333333,-0.10449620000000001,0.027990810938127348,-0.007053208342641167,0.1063136359288196
2021-05-31,0.19403083333333332,-0.10860330000000001,0.029841414567722,-0.007121658029110638,0.10814728987194477
2021-06-30,0.20433636666666666,-0.12280330000000002,0.035959224117955935,-0.007214572809639268,0.11027771797498341
2021-07-31,0.19226533333333332,-0.11101935000000002,0.03437987515812014,-0.007234613156009309,0.10839124533544424
2021-08-31,0.18767459999999997,-0.10253325000000002,0.03117483586014838,-0.007375209410952777,0.10894097644919568
2021-09-30,0.17274349999999997,-0.07290565000000002,0.022488584155679545,-0.007473626789413205,0.11485280736626641
2021-10-31,0.16264536666666662,-0.051769450000000015,0.01784925771445263,-0.007542518954335504,0.12118265542678386
2021-11-30,0.1479454333333333,-0.02518525000000002,0.014526934036733139,-0.007590743469781113,0.12969637390028543
2021-12-31,0.17119386666666664,-0.06985175000000002,0.018821554544681266,-0.00762450063059304,0.11253917058075497
2022-01-31,0.13952473333333332,-0.05330350000000002,0.04630488491799435,-0.007765870618024691,0.12476024763330307
2022-02-28,0.14278473333333333,-0.059498700000000015,0.047516707338857794,-0.007831911626822535,0.12297082904536867
2022-03-31,0.14873126666666667,-0.06928810000000002,0.048608962651561824,-0.007878140332981027,0.12017398898524755
2022-04-30,0.1392079,-0.06476805000000002,0.05707941485776927,-0.008010780238670084,0.12350848461909926
2022-05-31,0.1380442,-0.06404220000000002,0.0576000690589698,-0.008103628172652423,0.12349844088631745
2022-06-30,0.0925576,-0.06404220000000002,0.09225466574066112,-0.00822296141940976,0.11254710432125142
2022-07-31,0.1076096,-0.09570570000000002,0.10629239164247609,-0.008349428146679624,0.10984686349579652
2022-08-31,0.10797316666666666,-0.09570570000000002,0.10668438298233443,-0.008470901437590718,0.11048094821141044
2022-09-30,0.0640601,-0.09570570000000002,0.1307566239989687,-0.008555932741228484,0.09055509125774026
2022-10-31,0.0877927,-0.1411599,0.15356800029518713,-0.008706410828682048,0.09149438946650512
2022-11-30,0.11041003333333334,-0.1411599,0.13776567550422783,-0.008811076167464554,0.09820473267009663
2022-12-31,0.0815772,-0.1411599,0.15134878185627612,-0.008884341904612307,0.08288173995166385
2023-01-31,0.11129266666666666,-0.1565205,0.15216021623527629,-0.008920179481735574,0.09801220342020742
2023-02-28,0.10943889999999999,-0.1565205,0.15278723178989348,-0.008974079692937974,0.09673155209695554
2023-03-31,0.11475066666666665,-0.1565205,0.1515192197662867,-0.009011809840779653,0.10073757659217375
2023-04-30,0.11811996666666666,-0.1565205,0.1509528919649637,-0.00903822094426883,0.10351413768736156
2023-05-31,0.13314893333333333,-0.1565205,0.14918383025461185,-0.009056708716711253,0.11675555487123396
2023-06-30,0.13302733333333333,-0.1565205,0.14919249537691565,-0.00906965015742095,0.11662967855282806
2023-07-31,0.13749416666666667,-0.1565205,0.14893514208484596,-0.009078709165917737,0.12083009958559493
2023-08-31,0.12688236666666666,-0.15081740000000002,0.14537110329511616,-0.009132367859969986,0.11230370210181288
2023-09-30,0.11908933333333332,-0.15081740000000002,0.14638055017889892,-0.009154806774133412,0.10549767673809887
2023-10-31,0.09533803333333332,-0.11878040000000002,0.12626999867024757,-0.009289099534219013,0.09353853246936193
2023-11-30,0.1313916,-0.18989350000000002,0.1635316112576287,-0.009443104466278935,0.09558660679134981
2023-12-31,0.15256219999999998,-0.18989350000000002,0.1495794879374922,-0.00954530101383699,0.10270288692365526
2024-01-31,0.12911079999999997,-0.18989350000000002,0.16029957264717887,-0.009616838597127628,0.08990003405005126
2024-02-29,0.15041776666666665,-0.21917175000000003,0.17403154394957027,-0.00971676228882418,0.09556079832741277
2024-03-31,0.17091959999999998,-0.21917175000000003,0.16359768008307385,-0.009796815704636593,0.10554871437843728
2024-04-30,0.1625727,-0.21917175000000003,0.16653703135958348,-0.009852853095705282,0.1000851282638782
2024-05-31,0.15471249999999998,-0.20827350000000003,0.1608813633272908,-0.0099636269219572,0.0973567364053336
2024-06-30,0.17852516666666665,-0.24027800000000002,0.17242274493352214,-0.010041168600333541,0.10062874299985525
2024-07-31,0.1742287,-0.24027800000000002,0.17512954059754487,-0.010136889425470101,0.09894335117207476
2024-08-31,0.15541826666666667,-0.22991360000000002,0.17591999625974747,-0.010156611272974516,0.09126805165343961
2024-09-30,0.13802143333333333,-0.1969866,0.1601101416580325,-0.010307805979721425,0.09083716901164439
2024-10-31,0.13226013333333334,-0.18527700000000003,0.1559442399176753,-0.010413642274444263,0.09251373097656437
2024-11-30,0.11451516666666667,-0.15278760000000002,0.1485198648154913,-0.010487727680750248,0.0997597038014077
2024-12-31,0.10772466666666666,-0.13924870000000003,0.1461939320440045,-0.010539587465164438,0.1041303112455067
2025-01-31,0.1234362,-0.16968730000000004,0.14977180169428786,-0.01057588931425437,0.09294481238003348
2025-02-28,0.12632,-0.16968730000000004,0.14637275589889392,-0.010761502895803915,0.09224395300308999
2025-03-31,0.12652976666666665,-0.16983255000000005,0.1463247588883697,-0.010854714989749848,0.09216726056528651
2025-04-30,0.12984936666666666,-0.17109190000000005,0.14472301396726664,-0.010919963455512001,0.09256051717842129
2025-05-31,0.15334803333333333,-0.18414295000000006,0.1397674225321542,-0.010965637381545507,0.09800686848394201
2025-06-30,0.20938853333333332,-0.18414295000000006,0.10978667781868201,-0.011049623202475553,0.12398263794953976
2025-07-31,0.22969926666666665,-0.18414295000000006,0.10218703845617404,-0.011108413277126585,0.1366349418457141
2025-08-31,0.2228589,-0.18414295000000006,0.10398204883483078,-0.011149566329382308,0.13154843250544845
2025-09-30,0.26058523333333333,-0.18414295000000006,0.09704281739217603,-0.011178373465961313,0.16230672725954806
2025-10-31,0.34243429999999997,-0.18414295000000006,0.08652794792396731,-0.011198538461566617,0.23362075946240068
2025-11-30,0.32718329999999995,-0.18414295000000006,0.08788025837596185,-0.01121265395849033,0.2197079544174715
2025-12-31,0.3625780666666666,-0.24974015000000005,0.1315500353295707,-0.011412773110643731,0.23297517888559363
2026-01-31,0.4618943666666666,-0.24974015000000005,0.08749846059317833,-0.01148268970413635,0.28816998755570866
2026-02-28,0.5403308666666666,-0.24974015000000005,0.06297022664155538,-0.011531631319581185,0.3420293119886409
2026-03-31,0.46887866666666667,-0.24974015000000005,0.07874740833003734,-0.011565890450392568,0.2863200345463115
2026-04-30,0.5892346666666667,-0.47945135000000005,0.22118196772887572,-0.0117519090588246,0.31921337533671784
2026-05-31,0.7169823666666667,-0.47945135000000005,0.15636409501732312,-0.011831696032922176,0.38206341565106766
2026-06-30,0.7260357333333334,-0.47945135000000005,0.15306180508647008,-0.01188754691479048,0.387758641505013
2026-07-31,,,,-0.011953451297482667,
