Date,signal_date,method,strategy,experiment,display_name,hsi_state5,state_name_kr,action,asset,weight,asset_label,weight_pct
2020-05-31,2020-04-30,rank,HSI_state5_overlay,main_v2_conflict_defense,main_v2: conflict 방어,neutral_watch,관찰·중립,기본 동일비중 유지,069500_weight,0.3333333333333333,069500 위험자산,33.33333333333333
2020-06-30,2020-05-31,rank,HSI_state5_overlay,main_v2_conflict_defense,main_v2: conflict 방어,neutral_watch,관찰·중립,기본 동일비중 유지,069500_weight,0.3333333333333333,069500 위험자산,33.33333333333333
2020-07-31,2020-06-30,rank,HSI_state5_overlay,main_v2_conflict_defense,main_v2: conflict 방어,neutral_watch,관찰·중립,기본 동일비중 유지,069500_weight,0.3333333333333333,069500 위험자산,33.33333333333333
2020-08-31,2020-07-31,rank,HSI_state5_overlay,main_v2_conflict_defense,main_v2: conflict 방어,conflict,충돌 상태,소폭 방어,069500_weight,0.25,069500 위험자산,25.0
2020-09-30,2020-08-31,rank,HSI_state5_overlay,main_v2_conflict_defense,main_v2: conflict 방어,neutral_watch,관찰·중립,기본 동일비중 유지,069500_weight,0.3333333333333333,069500 위험자산,33.33333333333333
2020-10-31,2020-09-30,rank,HSI_state5_overlay,main_v2_conflict_defense,main_v2: conflict 방어,conflict,충돌 상태,소폭 방어,069500_weight,0.25,069500 위험자산,25.0
2020-11-30,2020-10-31,rank,HSI_state5_overlay,main_v2_conflict_defense,main_v2: conflict 방어,risk_warning,위험 악화 우세,방어 강화,069500_weight,0.2,069500 위험자산,20.0
2020-12-31,2020-11-30,rank,HSI_state5_overlay,main_v2_conflict_defense,main_v2: conflict 방어,conflict,충돌 상태,소폭 방어,069500_weight,0.25,069500 위험자산,25.0
2021-01-31,2020-12-31,rank,HSI_state5_overlay,main_v2_conflict_defense,main_v2: conflict 방어,conflict,충돌 상태,소폭 방어,069500_weight,0.25,069500 위험자산,25.0
2021-02-28,2021-01-31,rank,HSI_state5_overlay,main_v2_conflict_defense,main_v2: conflict 방어,neutral_watch,관찰·중립,기본 동일비중 유지,069500_weight,0.3333333333333333,069500 위험자산,33.33333333333333
2021-03-31,2021-02-28,rank,HSI_state5_overlay,main_v2_conflict_defense,main_v2: conflict 방어,neutral_watch,관찰·중립,기본 동일비중 유지,069500_weight,0.3333333333333333,069500 위험자산,33.33333333333333
2021-04-30,2021-03-31,rank,HSI_state5_overlay,main_v2_conflict_defense,main_v2: conflict 방어,neutral_watch,관찰·중립,기본 동일비중 유지,069500_weight,0.3333333333333333,069500 위험자산,33.33333333333333
2021-05-31,2021-04-30,rank,HSI_state5_overlay,main_v2_conflict_defense,main_v2: conflict 방어,neutral_watch,관찰·중립,기본 동일비중 유지,069500_weight,0.3333333333333333,069500 위험자산,33.33333333333333
2021-06-30,2021-05-31,rank,HSI_state5_overlay,main_v2_conflict_defense,main_v2: conflict 방어,risk_warning,위험 악화 우세,방어 강화,069500_weight,0.2,069500 위험자산,20.0
2021-07-31,2021-06-30,rank,HSI_state5_overlay,main_v2_conflict_defense,main_v2: conflict 방어,neutral_watch,관찰·중립,기본 동일비중 유지,069500_weight,0.3333333333333333,069500 위험자산,33.33333333333333
2021-08-31,2021-07-31,rank,HSI_state5_overlay,main_v2_conflict_defense,main_v2: conflict 방어,conflict,충돌 상태,소폭 방어,069500_weight,0.25,069500 위험자산,25.0
