method,strategy,signal_date,Date,hsi_state5,state_name_kr,action,069500_weight,114260_weight,153130_weight
rank,HSI_state5_overlay,2017-07-31,2017-08-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2017-08-31,2017-09-30,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2017-08-31,2017-09-30,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2017-09-30,2017-10-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2017-09-30,2017-10-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2017-10-31,2017-11-30,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2017-10-31,2017-11-30,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2017-11-30,2017-12-31,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2017-11-30,2017-12-31,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2017-12-31,2018-01-31,accident_zone,강한 위험 악화,강한 방어전환,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2017-12-31,2018-01-31,accident_zone,강한 위험 악화,강한 방어전환,0.1,0.45,0.45
rank,EW,2018-01-31,2018-02-28,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2018-01-31,2018-02-28,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2018-02-28,2018-03-31,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2018-02-28,2018-03-31,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2018-03-31,2018-04-30,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2018-03-31,2018-04-30,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2018-04-30,2018-05-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2018-04-30,2018-05-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2018-05-31,2018-06-30,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2018-05-31,2018-06-30,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2018-06-30,2018-07-31,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2018-06-30,2018-07-31,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2018-07-31,2018-08-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2018-07-31,2018-08-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2018-08-31,2018-09-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2018-08-31,2018-09-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2018-09-30,2018-10-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2018-09-30,2018-10-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2018-10-31,2018-11-30,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2018-10-31,2018-11-30,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2018-11-30,2018-12-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2018-11-30,2018-12-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2018-12-31,2019-01-31,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2018-12-31,2019-01-31,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2019-01-31,2019-02-28,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2019-01-31,2019-02-28,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2019-02-28,2019-03-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2019-02-28,2019-03-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2019-03-31,2019-04-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2019-03-31,2019-04-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2019-04-30,2019-05-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2019-04-30,2019-05-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2019-05-31,2019-06-30,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2019-05-31,2019-06-30,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2019-06-30,2019-07-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2019-06-30,2019-07-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2019-07-31,2019-08-31,risk_warning,위험 악화 우세,방어 강화,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2019-07-31,2019-08-31,risk_warning,위험 악화 우세,방어 강화,0.2,0.4,0.4
rank,EW,2019-08-31,2019-09-30,risk_warning,위험 악화 우세,방어 강화,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2019-08-31,2019-09-30,risk_warning,위험 악화 우세,방어 강화,0.2,0.4,0.4
rank,EW,2019-09-30,2019-10-31,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2019-09-30,2019-10-31,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2019-10-31,2019-11-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2019-10-31,2019-11-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2019-11-30,2019-12-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2019-11-30,2019-12-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2019-12-31,2020-01-31,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2019-12-31,2020-01-31,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2020-01-31,2020-02-29,risk_warning,위험 악화 우세,방어 강화,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2020-01-31,2020-02-29,risk_warning,위험 악화 우세,방어 강화,0.2,0.4,0.4
rank,EW,2020-02-29,2020-03-31,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2020-02-29,2020-03-31,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2020-03-31,2020-04-30,accident_zone,강한 위험 악화,강한 방어전환,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2020-03-31,2020-04-30,accident_zone,강한 위험 악화,강한 방어전환,0.1,0.45,0.45
