year,strategy,annual_buy_turnover_pct,annual_sell_turnover_pct,annual_oneway_turnover_pct,annual_double_sided_turnover_pct,max_monthly_oneway_turnover_pct,annual_backtest_turnover_pct,max_abs_turnover_diff
2017,asym_up0.1_down0.3,50.43791498833359,50.43791498833359,50.437914988333596,100.87582997666719,16.700808313536662,50.437914988333596,0.0
2018,asym_up0.1_down0.3,62.7824606178082,62.7824606178082,62.7824606178082,125.5649212356164,9.043550819642702,62.7824606178082,0.0
2019,asym_up0.1_down0.3,44.0605004486797,44.060500448679704,44.0605004486797,88.1210008973594,5.261750182093201,44.0605004486797,0.0
2020,asym_up0.1_down0.3,61.679031756789456,61.679031756789456,61.67903175678945,123.3580635135789,13.433305554766466,61.67903175678945,0.0
2021,asym_up0.1_down0.3,55.84681617949169,55.84681617949169,55.84681617949169,111.69363235898338,12.953915136426996,55.84681617949169,0.0
2022,asym_up0.1_down0.3,59.86616762264564,59.86616762264565,59.86616762264564,119.73233524529128,7.272819018561771,59.86616762264564,0.0
2023,asym_up0.1_down0.3,51.51760722569825,51.51760722569825,51.51760722569825,103.0352144513965,12.697512923431137,51.51760722569825,0.0
2024,asym_up0.1_down0.3,62.76005589558772,62.760055895587705,62.76005589558772,125.52011179117544,12.367472765626436,62.76005589558772,0.0
2025,asym_up0.1_down0.3,56.64706158405004,56.64706158405004,56.64706158405005,113.2941231681001,13.429950503411813,56.64706158405005,0.0
2026,asym_up0.1_down0.3,30.76079038132861,30.76079038132861,30.76079038132861,61.52158076265722,12.54430374189105,30.76079038132861,0.0
2012,dynamic_v1,20.322599999999998,20.32259999999999,20.32259999999999,40.64519999999998,5.999999999999996,20.32259999999999,0.0
2013,dynamic_v1,58.495547507760705,58.49554750776071,58.49554750776071,116.99109501552142,18.591122655420005,58.49554750776071,0.0
2014,dynamic_v1,84.7053964997303,84.70539649973033,84.7053964997303,169.4107929994606,17.54836096421215,84.7053964997303,0.0
2015,dynamic_v1,86.21171992158145,86.21171992158143,86.21171992158145,172.4234398431629,15.153356061805306,86.21171992158145,0.0
2016,dynamic_v1,48.78769915037226,48.78769915037225,48.787699150372255,97.57539830074451,8.311410655421431,48.787699150372255,0.0
