file,column,min,max,max_abs,reason,n_rows,columns
data\processed\main_final_signal_inputs.csv,ticker,69500.0,153130.0,153130.0,abs(value) > 100,10461,"Date, ticker, ret_1m, ret_3m, ma_gap, momentum, volatility, relative_strength, ret_6m, ret_12m, drawdown, shock_count, defensive_rs"
data\processed\main_final_theta_hsi_state_table.csv,ticker,69500.0,69500.0,69500.0,abs(value) > 100,860,"year_month, ticker, ticker_name, ticker_role, score_date, hsi_direction, raw3_signal, score_return, score_ma_pos, score_momentum, score_vol, score_rs, risk_component, relief_component, state_direction, state_intensity, valid_score_count, hsi_state, state_reason, theta_id, theta_common, state_kr, state_rule_version"
data\processed\main_final_theta_hsi_state_table.csv,score_return,-10.0,10.0,10.0,return abs > 1,860,"year_month, ticker, ticker_name, ticker_role, score_date, hsi_direction, raw3_signal, score_return, score_ma_pos, score_momentum, score_vol, score_rs, risk_component, relief_component, state_direction, state_intensity, valid_score_count, hsi_state, state_reason, theta_id, theta_common, state_kr, state_rule_version"
data\processed\main_v3_baseline_backtest_timeseries.csv,monthly_return,-6.985,11.7063,11.7063,return abs > 1,334,"strategy_name, signal_month, return_month, hsi_state, monthly_return, monthly_return_pct, growth_index, cumulative_return, cumulative_return_pct, drawdown, drawdown_pct"
data\processed\main_v3_baseline_backtest_timeseries.csv,monthly_return_pct,-698.5,1170.63,1170.63,abs(value) > 100 / return abs > 1,334,"strategy_name, signal_month, return_month, hsi_state, monthly_return, monthly_return_pct, growth_index, cumulative_return, cumulative_return_pct, drawdown, drawdown_pct"
data\processed\main_v3_baseline_backtest_timeseries.csv,growth_index,-33318435.27194188,31042791261.132305,31042791261.132305,abs(value) > 100,334,"strategy_name, signal_month, return_month, hsi_state, monthly_return, monthly_return_pct, growth_index, cumulative_return, cumulative_return_pct, drawdown, drawdown_pct"
data\processed\main_v3_baseline_backtest_timeseries.csv,cumulative_return,-33318436.27194188,31042791260.132305,31042791260.132305,abs(value) > 100,334,"strategy_name, signal_month, return_month, hsi_state, monthly_return, monthly_return_pct, growth_index, cumulative_return, cumulative_return_pct, drawdown, drawdown_pct"
data\processed\main_v3_baseline_backtest_timeseries.csv,cumulative_return_pct,-3331843627.194188,3104279126013.2305,3104279126013.2305,abs(value) > 100,334,"strategy_name, signal_month, return_month, hsi_state, monthly_return, monthly_return_pct, growth_index, cumulative_return, cumulative_return_pct, drawdown, drawdown_pct"
data\processed\main_v3_baseline_backtest_timeseries.csv,drawdown,-542.2072329004137,0.0,542.2072329004137,abs(value) > 100 / drawdown < -1,334,"strategy_name, signal_month, return_month, hsi_state, monthly_return, monthly_return_pct, growth_index, cumulative_return, cumulative_return_pct, drawdown, drawdown_pct"
data\processed\main_v3_baseline_backtest_timeseries.csv,drawdown_pct,-54220.72329004137,0.0,54220.72329004137,abs(value) > 100 / drawdown < -1,334,"strategy_name, signal_month, return_month, hsi_state, monthly_return, monthly_return_pct, growth_index, cumulative_return, cumulative_return_pct, drawdown, drawdown_pct"
