method,strategy,Date,hsi_state5,069500_weight,069500_daily_return,069500_contribution,069500_cum_return,114260_weight,114260_daily_return,114260_contribution,114260_cum_return,153130_weight,153130_daily_return,153130_contribution,153130_cum_return,strategy_daily_return
rank,HSI_state5_overlay,2016-11-10,neutral_watch,0.3333333333333333,0.019789494106805083,0.0065964980356016945,1.024859858640019,0.3333333333333333,-0.0010689370639862528,-0.0003563123546620842,1.0926339972513388,0.3333333333333333,0.00020041771270640218,6.68059042354674e-05,1.049415644782863,0.006306991585175077
rank,HSI_state5_overlay,2016-11-11,neutral_watch,0.3333333333333333,-0.010035671819262793,-0.003345223939754264,1.0145747014379718,0.3333333333333333,-0.0015957346950269402,-0.0005319115650089801,1.090890443272959,0.3333333333333333,-5.2730935130362866e-05,-1.7576978376787622e-05,1.0493603081145733,-0.0038947124831400317
rank,HSI_state5_overlay,2016-11-14,neutral_watch,0.3333333333333333,-0.0079754011722879,-0.0026584670574292995,1.0064830611747497,0.3333333333333333,-0.003064946786506706,-0.0010216489288355686,1.0875469221144185,0.3333333333333333,-5.27337158285901e-05,-1.75779052761967e-05,1.0493049714462834,-0.0036976938915410647
rank,HSI_state5_overlay,2016-11-15,neutral_watch,0.3333333333333333,-0.0034870205346765326,-0.0011623401782255107,1.0029734340726293,0.3333333333333333,-0.0008864746600275586,-0.00029549155334251953,1.086582839326373,0.3333333333333333,-0.00014766219109596523,-4.922073036532174e-05,1.0491500287750717,-0.001507052461933352
rank,HSI_state5_overlay,2016-11-16,neutral_watch,0.3333333333333333,0.003499222395023427,0.001166407465007809,1.0064830611747497,0.3333333333333333,-0.0005474590349618946,-0.0001824863449872982,1.0859879797337493,0.3333333333333333,-3.164657109400171e-05,-1.0548857031333903e-05,1.0491168267740978,0.0009733722629891768
rank,HSI_state5_overlay,2016-11-17,neutral_watch,0.3333333333333333,-0.0005327392483533977,-0.00017757974945113256,1.005946868145259,0.3333333333333333,-0.0029843416504542475,-0.0009947805501514158,1.0827470205739371,0.3333333333333333,-0.00010549190877062742,-3.5163969590209135e-05,1.049006153437518,-0.0012075242691927575
rank,HSI_state5_overlay,2016-11-18,neutral_watch,0.3333333333333333,-0.000387653244173114,-0.00012921774805770464,1.0055569095783568,0.3333333333333333,0.0016481955100879908,0.0005493985033626636,1.0845315993518083,0.3333333333333333,0.00013715395003366382,4.5717983344554604e-05,1.0491500287750715,0.0004658987386495136
rank,HSI_state5_overlay,2016-11-21,neutral_watch,0.3333333333333333,-0.0019874933346260004,-0.0006624977782086667,1.0035583719229826,0.3333333333333333,-0.0005674080798910852,-0.00018913602663036172,1.083916227359439,0.3333333333333333,-0.00013713514140745175,-4.5711713802483914e-05,1.0490061534375177,-0.0008973455186415124
rank,HSI_state5_overlay,2016-11-22,neutral_watch,0.3333333333333333,0.011414416164756247,0.003804805388252082,1.0150134048257367,0.3333333333333333,0.0007569736194694698,0.0002523245398231566,1.0847367233492649,0.3333333333333333,-5.2751519243776634e-05,-1.7583839747925545e-05,1.0489508167692279,0.004039546088327313
rank,HSI_state5_overlay,2016-11-23,neutral_watch,0.3333333333333333,0.003697834125726329,0.0012326113752421097,1.018766756032171,0.3333333333333333,-0.001456072009379361,-0.000485357336459787,1.0831572685688502,0.3333333333333333,-9.495774380396949e-05,-3.1652581267989824e-05,1.0488512107663062,0.0007156014575143329
rank,HSI_state5_overlay,2016-11-24,neutral_watch,0.3333333333333333,-0.005119617224880413,-0.0017065390749601375,1.0135510601998532,0.3333333333333333,-0.0014392576460562356,-0.00047975254868541184,1.0815983261881812,0.3333333333333333,5.2759312018535454e-05,1.7586437339511818e-05,1.048906547434596,-0.0021687051863060374
rank,HSI_state5_overlay,2016-11-25,neutral_watch,0.3333333333333333,0.00043283797431836746,0.00014427932477278915,1.0139897635876183,0.3333333333333333,-0.00026550854368567745,-8.85028478952258e-05,1.081311152591742,0.3333333333333333,-0.0001899235030334845,-6.330783434449483e-05,1.0487073354287524,-7.531357466931482e-06
rank,HSI_state5_overlay,2016-11-28,neutral_watch,0.3333333333333333,0.003028554946639783,0.0010095183155465943,1.0170606873019736,0.3333333333333333,0.0009674665654937353,0.0003224888551645784,1.0823572849787702,0.3333333333333333,5.27665502285668e-05,1.7588850076188933e-05,1.0487626720970424,0.0013495960207873616
rank,HSI_state5_overlay,2016-11-29,neutral_watch,0.3333333333333333,0.0003834172058470031,0.00012780573528233435,1.0174506458688757,0.3333333333333333,0.00172459538339087,0.0005748651277969566,1.084223913355624,0.3333333333333333,0.00017939680462641938,5.979893487547312e-05,1.048950816769228,0.0007624697979547642
rank,HSI_state5_overlay,2016-11-30,neutral_watch,0.3333333333333333,0.004838786949647789,0.0016129289832159295,1.0223738727760168,0.3333333333333333,0.0007378398319994872,0.0002459466106664957,1.085023896945704,0.3333333333333333,5.275430211337806e-05,1.758476737112602e-05,1.049006153437518,0.0018764603612535513
rank,HSI_state5_overlay,2016-12-01,neutral_watch,0.3333333333333333,0.0008105273195384566,0.0002701757731794855,1.0232025347306841,0.3333333333333333,-0.0011153962492438385,-0.00037179874974794613,1.0838136653607109,0.3333333333333333,0.00013715395003366382,4.5717983344554604e-05,1.0491500287750715,-5.590499322390604e-05
rank,HSI_state5_overlay,2016-12-02,neutral_watch,0.3333333333333333,-0.007050640750797976,-0.0023502135835993254,1.0159883012429922,0.3333333333333333,9.46306565474675e-05,3.1543552182489165e-05,1.0839162273594392,0.3333333333333333,0.0002531725687522357,8.439085625074523e-05,1.0494156447828629,-0.002234279175166091
rank,HSI_state5_overlay,2016-12-05,neutral_watch,0.3333333333333333,-0.0011514657199059863,-0.0003838219066353288,1.0148184255422854,0.3333333333333333,9.462170243357271e-05,3.1540567477857565e-05,1.0840187893581672,0.3333333333333333,9.49156832348308e-05,3.163856107827693e-05,1.0495152507857848,-0.0003206427780791943
rank,HSI_state5_overlay,2016-12-06,neutral_watch,0.3333333333333333,0.011816129497093986,0.003938709832364662,1.0268096514745302,0.3333333333333333,9.46127500141003e-05,3.153758333803343e-05,1.0841213513568952,0.3333333333333333,9.49066751028127e-05,3.163555836760423e-05,1.0496148567887065,0.004001882974070299
rank,HSI_state5_overlay,2016-12-07,neutral_watch,0.3333333333333333,0.0029907429385236384,0.0009969143128412128,1.0298805751888855,0.3333333333333333,9.460379928860618e-05,3.153459976286872e-05,1.0842239133556235,0.3333333333333333,9.489766868053806e-05,3.163255622684602e-05,1.0497144627916282,0.0010600814688309275
rank,HSI_state5_overlay,2016-12-08,neutral_watch,0.3333333333333333,0.01694433926542982,0.005648113088476606,1.047331221057762,0.3333333333333333,0.0013621658436915318,0.0004540552812305106,1.0857008061373101,0.3333333333333333,0.00010543184885292156,3.5143949617640516e-05,1.049825136128208,0.0061373123193247565
rank,HSI_state5_overlay,2016-12-09,neutral_watch,0.3333333333333333,0.0006515870799590484,0.0002171956933196828,1.048013648549841,0.3333333333333333,-0.0020026828392752938,-0.0006675609464250979,1.0835264917642715,0.3333333333333333,0.00015813110122508967,5.2710367075029886e-05,1.0499911461330778,-0.0003976548860303852
rank,HSI_state5_overlay,2016-12-12,neutral_watch,0.3333333333333333,-0.0013488372093023449,-0.0004496124031007816,1.0466000487448204,0.3333333333333333,0.0002650360638358773,8.83453546119591e-05,1.0838136653607107,0.3333333333333333,9.486365983990552e-05,3.162121994663517e-05,1.0500907521359995,-0.0003296458285421873
rank,HSI_state5_overlay,2016-12-13,neutral_watch,0.3333333333333333,0.001956126868799757,0.0006520422895999189,1.0486473312210574,0.3333333333333333,0.001854760868330807,0.0006182536227769356,1.0858238805357838,0.3333333333333333,8.431525473739931e-05,2.8105084912466438e-05,1.0501792908052632,0.001298400997289321
rank,HSI_state5_overlay,2016-12-14,neutral_watch,0.3333333333333333,0.0008831869102403633,0.00029439563674678776,1.0495734828174503,0.3333333333333333,0.0012468121280815314,0.00041560404269384377,1.0871776989189963,0.3333333333333333,0.00015807777426490865,5.2692591421636216e-05,1.0503453008101327,0.0007626922708622678
rank,HSI_state5_overlay,2016-12-15,neutral_watch,0.3333333333333333,-0.0003715400334386443,-0.00012384667781288142,1.049183524250548,0.3333333333333333,-0.0008867757212127625,-0.0002955919070709208,1.086213616130951,0.3333333333333333,9.483167377899449e-05,3.1610557926331495e-05,1.0504449068130544,-0.00038782802695747076
rank,HSI_state5_overlay,2016-12-16,neutral_watch,0.3333333333333333,0.002508827355510057,0.000836275785170019,1.0518157445771383,0.3333333333333333,0.0001888431468821672,6.294771562738906e-05,1.0864187401284076,0.3333333333333333,0.0,0.0,1.0504449068130544,0.0008992235007974081
rank,HSI_state5_overlay,2016-12-19,neutral_watch,0.3333333333333333,0.0007878394661229304,0.0002626131553743101,1.0526444065318057,0.3333333333333333,0.0004153764821388517,0.00013845882737961723,1.0868700129228117,0.3333333333333333,0.0,0.0,1.0504449068130544,0.00040107198275392736
rank,HSI_state5_overlay,2016-12-20,neutral_watch,0.3333333333333333,0.0022227367446168156,0.0007409122482056052,1.0549841579332193,0.3333333333333333,-0.00032083946702898825,-0.00010694648900966275,1.0865213021271358,0.3333333333333333,5.267926754748409e-05,1.7559755849161363e-05,1.0505002434813442,0.0006515255150451038
rank,HSI_state5_overlay,2016-12-21,neutral_watch,0.3333333333333333,-0.0012475165180427794,-0.00041583883934759314,1.053668047769924,0.3333333333333333,0.00041533727274445376,0.00013844575758148459,1.08697257492154,0.3333333333333333,0.0,0.0,1.0505002434813442,-0.00027739308176610855
rank,HSI_state5_overlay,2016-12-22,neutral_watch,0.3333333333333333,-0.0006014063656550883,-0.0002004687885516961,1.053034365098708,0.3333333333333333,0.0005472627427298704,0.00018242091424329013,1.0875674345141637,0.3333333333333333,0.00010535298517688751,3.511766172562917e-05,1.050610916817924,1.706978741722321e-05
rank,HSI_state5_overlay,2016-12-23,neutral_watch,0.3333333333333333,-0.0012961162801462534,-0.0004320387600487511,1.0516695101145501,0.3333333333333333,0.0005281026027914582,0.00017603420093048605,1.0881417817070418,0.3333333333333333,5.2670943547328264e-05,1.7556981182442755e-05,1.050666253486214,-0.00023844757793582228
rank,HSI_state5_overlay,2016-12-26,neutral_watch,0.3333333333333333,0.0019003476245653683,0.0006334492081884561,1.053668047769924,0.3333333333333333,-0.00016965766852661268,-5.655255617553756e-05,1.087957170109331,0.3333333333333333,-0.0001580045083953152,-5.2668169465105066e-05,1.0505002434813442,0.0005242284825478134
rank,HSI_state5_overlay,2016-12-27,neutral_watch,0.3333333333333333,0.001480384900073961,0.000493461633357987,1.0552278820375331,0.3333333333333333,-0.0007164539301268702,-0.00023881797670895671,1.0871776989189963,0.3333333333333333,0.0,0.0,1.0505002434813442,0.00025464365664903027
rank,HSI_state5_overlay,2016-12-28,neutral_watch,0.3333333333333333,0.0032797487065778785,0.0010932495688592927,1.0586887643187906,0.3333333333333333,0.0011697892492594786,0.0003899297497531595,1.0884494677032264,0.3333333333333333,0.000252847164424308,8.428238814143599e-05,1.0507658594891356,0.0015674617067538883
rank,HSI_state5_overlay,2016-12-29,neutral_watch,0.3333333333333333,0.0005525116257654172,0.00018417054192180574,1.0592737021691438,0.3333333333333333,0.0012626500574788313,0.00042088335249294373,1.0898237984861847,0.3333333333333333,5.266317685337363e-05,1.7554392284457876e-05,1.0508211961574254,0.0006226082866992073
rank,HSI_state5_overlay,2017-01-02,conflict,0.25,0.0033592563618793925,0.0008398140904698481,1.062832074092127,0.375,0.0,0.0,1.0898237984861847,0.375,0.00015798121076793237,5.924295403797464e-05,1.050987206162295,0.0008990570445078228
rank,HSI_state5_overlay,2017-01-03,conflict,0.25,0.007888460832874644,0.001972115208218661,1.0712161832805258,0.375,-0.00015057406361751458,-5.6465273856567966e-05,1.0896596992882195,0.375,0.00010530417109810841,3.9489064161790655e-05,1.0510978794988746,0.0019551389985238837
rank,HSI_state5_overlay,2017-01-04,conflict,0.25,0.0011376046596287548,0.0002844011649071887,1.0724348038020954,0.375,-0.000376491848951499,-0.00014118444335681213,1.0892494512933066,0.375,0.00014741031661635873,5.527886873113452e-05,1.0512528221700863,0.0001984955902815111
rank,HSI_state5_overlay,2017-01-05,conflict,0.25,-0.0039543657106495544,-0.0009885914276623886,1.0681940043870333,0.375,0.0008850890738578698,0.0003319084026967012,1.0902135340813521,0.375,0.0001894996157369988,7.106235590137455e-05,1.05145203417593,-0.0005856206690643129
rank,HSI_state5_overlay,2017-01-06,conflict,0.25,0.004289495299808266,0.0010723738249520665,1.072776017548135,0.375,-9.407514722759025e-05,-3.5278180210346344e-05,1.0901109720826239,0.375,0.00010525761802004929,3.9471606757518485e-05,1.0515627075125096,0.0010765672514992386
rank,HSI_state5_overlay,2017-01-09,conflict,0.25,0.0025899672846236843,0.0006474918211559211,1.0755544723373134,0.375,-0.001241908776155376,-0.000465715791058266,1.0887571536994112,0.375,-5.262327000998823e-05,-1.9733726253745587e-05,1.0515073708442197,0.0001620423038439095
rank,HSI_state5_overlay,2017-01-10,conflict,0.25,-0.0014502605937004587,-0.00036256514842511467,1.0739946380697043,0.375,7.536078978098715e-05,2.826029616787018e-05,1.0888392032983936,0.375,0.00010525207872857933,3.946952952321725e-05,1.0516180441807996,-0.00029483532273402724
rank,HSI_state5_overlay,2017-01-11,conflict,0.25,0.018018426905096918,0.0045046067262742295,1.0933463319522292,0.375,0.000753551109603956,0.0002825816661014835,1.0896596992882193,0.375,0.0,0.0,1.0516180441807996,0.004787188392375713
rank,HSI_state5_overlay,2017-01-12,conflict,0.25,0.00249665626393214,0.000624164065983035,1.0960760419205449,0.375,0.0,0.0,1.0896596992882193,0.375,0.00015786150284147205,5.919806356555202e-05,1.0517840541856691,0.000683362129548587
rank,HSI_state5_overlay,2017-01-13,conflict,0.25,-0.002490438495063585,-0.0006226096237658962,1.093346331952229,0.375,-0.00047061481118937376,-0.00017648055419601516,1.0891468892945781,0.375,0.0,0.0,1.0517840541856691,-0.0007990901779619114
rank,HSI_state5_overlay,2017-01-16,conflict,0.25,-0.005349977708426268,-0.001337494427106567,1.087496953448695,0.375,0.00037666911501599287,0.00014125091813099733,1.0895571372894912,0.375,0.0,0.0,1.0517840541856691,-0.0011962435089755696
rank,HSI_state5_overlay,2017-01-17,conflict,0.25,0.0038099506947557593,0.0009524876736889398,1.0916402632220314,0.375,0.0004330063821376129,0.00016237739330160483,1.0900289224836412,0.375,0.00010522439101379177,3.9459146630171915e-05,1.0518947275222488,0.0011543242136207166
rank,HSI_state5_overlay,2017-01-18,conflict,0.25,-0.0006251395400759252,-0.0001562848850189813,1.0909578357299525,0.375,-0.0007150922092585832,-0.0002681595784719687,1.0892494512933066,0.375,5.26066600030628e-05,1.972749750114855e-05,1.0519500641905386,-0.00040471696598980145
rank,HSI_state5_overlay,2017-01-19,conflict,0.25,0.0006255305839775183,0.00015638264599437957,1.0916402632220314,0.375,-0.0006402772023652581,-0.00024010395088697178,1.0885520297019546,0.375,0.0,0.0,1.0519500641905386,-8.372130489259222e-05
rank,HSI_state5_overlay,2017-01-20,conflict,0.25,-0.0013842375530251916,-0.0003460593882562979,1.0901291737752852,0.375,0.0001884374764453689,7.066405366701334e-05,1.0887571536994112,0.375,5.2603892688019016e-05,1.972645975800713e-05,1.0520054008588284,-0.0002556688748312774
rank,HSI_state5_overlay,2017-01-23,conflict,0.25,-0.0010284385619746539,-0.00025710964049366347,1.0890080428954412,0.375,0.0008854892799277092,0.00033205847997289095,1.0897212364874567,0.375,0.00013676292672659685,5.128609752247382e-05,1.052149276196382,0.0001262349370017013
