strategy,window_start,window_end,months,cumulative_return_pct,cagr_pct,vol_pct,mdd_pct,sharpe,negative_cum_return
dynamic_v1_macro,2021-08-31,2024-07-31,36,6.552689445212256,2.138185590946562,8.705013742319553,-11.487218786716946,0.2854356423041669,False
dynamic_v1_macro,2021-09-30,2024-08-31,36,4.388516743461768,1.4419468696882598,8.822031119662066,-10.539137321381077,0.20512566582959113,False
dynamic_v1_macro,2021-10-31,2024-09-30,36,4.109526388447815,1.3514944712552657,8.835782109642144,-10.444289301756104,0.19483073802318432,False
dynamic_v1_macro,2021-11-30,2024-10-31,36,4.794267985085532,1.5732096530385098,8.815220920457561,-10.444289301756115,0.21991033742822355,False
dynamic_v1_macro,2021-12-31,2024-11-30,36,4.539685263538806,1.490890416085744,8.820208697865679,-10.444289301756093,0.21062790538610546,False
dynamic_v1_macro,2022-01-31,2024-12-31,36,3.0369284799527385,1.0022312613476636,8.804371700188868,-8.365031968365555,0.15596182655869503,False
dynamic_v1_macro,2022-02-28,2025-01-31,36,6.982286688631856,2.2752678354466926,8.67899984692642,-8.365031968365555,0.3015184753726997,False
dynamic_v1_macro,2022-03-31,2025-02-28,36,7.096607745115846,2.3116852485340234,8.679544074762893,-8.348083036323828,0.3056155507510489,False
dynamic_v1_macro,2022-04-30,2025-03-31,36,7.339562670217736,2.3889935012937125,8.67838565133527,-7.548097001467169,0.31436817706159564,False
dynamic_v1_macro,2022-05-31,2025-04-30,36,9.260515695574622,2.9961715658660237,8.659191800923868,-7.548097001467169,0.38332956976832133,False
dynamic_v1_macro,2022-06-30,2025-05-31,36,11.74106344606809,3.7697889409551877,8.737165115797595,-5.937540610908931,0.4665611333594042,False
dynamic_v1_macro,2022-07-31,2025-06-30,36,25.06350714312333,7.739974345276512,9.10977540672647,-5.937540610908942,0.8647430022964306,False
dynamic_v1_macro,2022-08-31,2025-07-31,36,26.462401741644335,8.140193378647398,9.191344973152836,-5.937540610908942,0.8984492504160375,False
dynamic_v1_macro,2022-09-30,2025-08-31,36,26.260237801691755,8.082538014315045,9.199672214201168,-5.937540610908942,0.8918808474039331,False
dynamic_v1_macro,2022-10-31,2025-09-30,36,40.79933057562863,12.08139559776944,9.208259346651756,-5.93754061090892,1.2885769679586883,False
dynamic_v1_macro,2022-11-30,2025-10-31,36,57.08012615590674,16.244856881099047,11.906212461077303,-5.937540610908942,1.3276477673590292,False
dynamic_v1_macro,2022-12-31,2025-11-30,36,47.92558522079038,13.941281246313842,12.090618111647434,-5.937540610908942,1.1416364986805976,False
dynamic_v1_macro,2023-01-31,2025-12-31,36,60.42846126946186,17.065018837146397,12.056509306447952,-5.937540610908954,1.3715782634113691,False
dynamic_v1_macro,2023-02-28,2026-01-31,36,78.4766198339989,21.29990034986409,14.60291573477046,-5.937540610908931,1.3998203259895476,False
dynamic_v1_macro,2023-03-31,2026-02-28,36,103.1696288052351,26.65419989446938,15.964331241768228,-5.937540610908942,1.5676754571951668,False
dynamic_v1_macro,2023-04-30,2026-03-31,36,75.021987860008,20.512160032703285,18.003080458621255,-12.322751195356108,1.1290681210327322,False
dynamic_v1_macro,2023-05-31,2026-04-30,36,105.40293264702845,27.116583925546966,20.3463274984695,-12.322751195356108,1.285392690724292,False
dynamic_v1_macro,2023-06-30,2026-05-31,36,140.87203032657368,34.04855119086658,22.71994374617217,-12.322751195356108,1.4096935703052111,False
dynamic_v1_macro,2023-07-31,2026-06-30,36,145.27795093498747,34.860936073801454,22.66880365548613,-12.322751195356108,1.4397513616152708,False
FixedBM_70_20_10,2012-04-30,2015-03-31,36,3.1697500340905016,1.0456121904068416,7.531340812907783,-6.9562424325226635,0.1751396862038166,False
